epoch_number,rank1_feature,rank1_frequency,rank2_feature,rank2_frequency,rank3_feature,rank3_frequency,rank4_feature,rank4_frequency,rank5_feature,rank5_frequency,rank6_feature,rank6_frequency,rank7_feature,rank7_frequency,rank8_feature,rank8_frequency,rank9_feature,rank9_frequency,rank10_feature,rank10_frequency,rank11_feature,rank11_frequency,rank12_feature,rank12_frequency
0,dst_host_srv_count,41,service_private,37,count,24,flag_SF,7,same_srv_rate,7,dst_host_same_srv_rate,6,dst_host_same_src_port_rate,3.0,flag_S0,1.0,,,,,,,,
1,dst_host_srv_count,37,count,31,service_private,20,flag_SF,14,dst_host_same_srv_rate,10,same_srv_rate,8,dst_host_count,3.0,dst_host_same_src_port_rate,2.0,logged_in_0,1.0,,,,,,
2,count,44,dst_host_srv_count,34,service_private,21,dst_host_same_srv_rate,10,same_srv_rate,10,flag_SF,5,is_guest_login_0,1.0,logged_in_1,1.0,,,,,,,,
3,count,47,dst_host_srv_count,35,service_private,22,flag_SF,10,dst_host_same_srv_rate,6,same_srv_rate,4,dst_host_same_src_port_rate,1.0,logged_in_1,1.0,,,,,,,,
4,count,62,dst_host_srv_count,34,service_private,16,dst_host_same_srv_rate,5,flag_SF,3,same_srv_rate,3,dst_host_serror_rate,2.0,dst_host_count,1.0,,,,,,,,
5,count,64,dst_host_srv_count,24,service_private,17,dst_host_same_srv_rate,9,flag_SF,5,same_srv_rate,5,dst_host_count,1.0,service_http,1.0,,,,,,,,
6,count,66,dst_host_srv_count,26,dst_host_same_srv_rate,12,flag_SF,9,service_private,9,dst_host_count,1,dst_host_serror_rate,1.0,dst_host_srv_serror_rate,1.0,same_srv_rate,1.0,,,,,,
7,count,74,dst_host_srv_count,24,service_private,15,same_srv_rate,5,dst_host_same_srv_rate,3,dst_host_serror_rate,2,dst_host_count,1.0,flag_SF,1.0,logged_in_1,1.0,,,,,,
8,count,77,dst_host_srv_count,19,service_private,10,dst_host_same_srv_rate,9,flag_SF,4,same_srv_rate,3,dst_host_count,1.0,dst_host_same_src_port_rate,1.0,dst_host_serror_rate,1.0,srv_rerror_rate,1.0,,,,
9,count,79,dst_host_srv_count,16,dst_host_same_srv_rate,15,service_private,6,flag_SF,4,same_srv_rate,4,dst_host_same_src_port_rate,2.0,,,,,,,,,,
10,count,81,dst_host_srv_count,12,service_private,12,dst_host_same_srv_rate,9,same_srv_rate,4,dst_host_same_src_port_rate,2,flag_SF,2.0,dst_host_count,1.0,dst_host_serror_rate,1.0,logged_in_0,1.0,service_csnet_ns,1.0,,
11,count,86,dst_host_srv_count,12,service_private,11,dst_host_same_srv_rate,8,same_srv_rate,3,dst_host_count,2,flag_SF,2.0,dst_host_same_src_port_rate,1.0,flag_S0,1.0,,,,,,
12,count,86,dst_host_same_srv_rate,12,dst_host_srv_count,10,service_private,7,same_srv_rate,3,flag_SF,2,dst_host_count,1.0,dst_host_same_src_port_rate,1.0,dst_host_serror_rate,1.0,logged_in_0,1.0,protocol_type_tcp,1.0,service_http,1.0
13,count,91,dst_host_same_srv_rate,13,dst_host_srv_count,13,service_private,6,flag_SF,2,dst_host_same_src_port_rate,1,,,,,,,,,,,,
14,count,92,dst_host_srv_count,13,dst_host_same_srv_rate,11,service_private,7,dst_host_same_src_port_rate,1,dst_host_serror_rate,1,service_http,1.0,,,,,,,,,,
15,count,93,dst_host_same_srv_rate,11,dst_host_srv_count,10,service_private,6,dst_host_count,3,dst_host_serror_rate,1,service_http,1.0,srv_diff_host_rate,1.0,,,,,,,,
16,count,94,dst_host_srv_count,10,service_private,9,dst_host_same_srv_rate,8,same_srv_rate,2,dst_host_count,1,dst_host_serror_rate,1.0,service_http,1.0,,,,,,,,
