epoch_number,rank1_feature,rank1_frequency,rank2_feature,rank2_frequency,rank3_feature,rank3_frequency,rank4_feature,rank4_frequency
0,service_private,36,dst_host_srv_count,16,count,12.0,,
1,service_private,31,dst_host_srv_count,19,count,14.0,,
2,service_private,28,dst_host_srv_count,21,count,15.0,,
3,dst_host_srv_count,45,count,17,service_private,2.0,,
4,dst_host_srv_count,47,count,17,,,,
5,dst_host_srv_count,27,service_private,20,count,17.0,,
6,dst_host_srv_count,47,count,17,,,,
7,dst_host_srv_count,47,count,17,,,,
8,dst_host_srv_count,46,count,17,service_private,1.0,,
9,dst_host_srv_count,47,count,17,,,,
10,dst_host_srv_count,25,service_private,22,count,17.0,,
11,dst_host_srv_count,24,service_private,23,count,17.0,,
12,dst_host_srv_count,43,count,17,service_private,4.0,,
13,dst_host_srv_count,45,count,18,service_private,1.0,,
14,dst_host_srv_count,31,count,19,service_private,14.0,,
15,dst_host_srv_count,38,count,19,service_private,7.0,,
16,dst_host_srv_count,33,count,20,service_private,11.0,,
17,dst_host_srv_count,38,count,20,service_private,6.0,,
18,dst_host_srv_count,37,count,20,service_private,7.0,,
19,dst_host_srv_count,41,count,22,service_private,1.0,,
20,dst_host_srv_count,26,count,22,service_private,16.0,,
21,count,24,service_private,24,dst_host_srv_count,16.0,,
22,count,26,service_private,24,dst_host_srv_count,14.0,,
23,count,27,dst_host_srv_count,19,service_private,18.0,,
24,count,28,service_private,19,dst_host_srv_count,17.0,,
25,count,28,service_private,24,dst_host_srv_count,12.0,,
26,count,28,dst_host_srv_count,19,service_private,17.0,,
27,count,28,dst_host_srv_count,24,service_private,12.0,,
28,count,28,service_private,20,dst_host_srv_count,16.0,,
29,count,28,dst_host_srv_count,20,service_private,16.0,,
30,count,29,service_private,23,dst_host_srv_count,12.0,,
31,count,29,service_private,24,dst_host_srv_count,11.0,,
32,count,30,service_private,23,dst_host_srv_count,11.0,,
33,count,30,service_private,23,dst_host_srv_count,11.0,,
34,count,30,service_private,23,dst_host_srv_count,11.0,,
35,count,30,service_private,24,dst_host_srv_count,10.0,,
36,count,30,service_private,24,dst_host_srv_count,10.0,,
37,count,30,service_private,22,dst_host_srv_count,12.0,,
38,count,30,service_private,24,dst_host_srv_count,10.0,,
39,count,30,service_private,18,dst_host_srv_count,16.0,,
40,count,30,service_private,24,dst_host_srv_count,10.0,,
41,count,30,service_private,24,dst_host_srv_count,10.0,,
42,count,30,service_private,23,dst_host_srv_count,11.0,,
43,count,30,service_private,24,dst_host_srv_count,10.0,,
