epoch_number,rank1_feature,rank1_frequency,rank2_feature,rank2_frequency,rank3_feature,rank3_frequency
0,dst_host_srv_count,15,service_private,10,count,7.0
1,dst_host_srv_count,15,service_private,10,count,7.0
2,dst_host_srv_count,15,service_private,10,count,7.0
3,dst_host_srv_count,25,count,7,,
4,dst_host_srv_count,25,count,7,,
5,dst_host_srv_count,25,count,7,,
6,dst_host_srv_count,25,count,7,,
7,dst_host_srv_count,25,count,7,,
8,dst_host_srv_count,25,count,7,,
9,dst_host_srv_count,25,count,7,,
10,dst_host_srv_count,25,count,7,,
11,dst_host_srv_count,25,count,7,,
12,dst_host_srv_count,25,count,7,,
13,dst_host_srv_count,25,count,7,,
14,dst_host_srv_count,25,count,7,,
15,dst_host_srv_count,25,count,7,,
16,dst_host_srv_count,25,count,7,,
17,dst_host_srv_count,25,count,7,,
18,dst_host_srv_count,25,count,7,,
19,dst_host_srv_count,25,count,7,,
20,dst_host_srv_count,20,count,7,service_private,5.0
21,dst_host_srv_count,15,service_private,10,count,7.0
22,dst_host_srv_count,15,service_private,10,count,7.0
23,dst_host_srv_count,21,count,7,service_private,4.0
24,dst_host_srv_count,25,count,7,,
25,dst_host_srv_count,15,service_private,10,count,7.0
26,dst_host_srv_count,25,count,7,,
27,dst_host_srv_count,25,count,7,,
28,dst_host_srv_count,23,count,7,service_private,2.0
29,dst_host_srv_count,25,count,7,,
30,dst_host_srv_count,20,count,7,service_private,5.0
31,dst_host_srv_count,15,service_private,10,count,7.0
32,dst_host_srv_count,20,count,7,service_private,5.0
33,dst_host_srv_count,16,service_private,9,count,7.0
34,dst_host_srv_count,20,count,7,service_private,5.0
35,dst_host_srv_count,15,service_private,10,count,7.0
36,dst_host_srv_count,19,count,7,service_private,6.0
37,dst_host_srv_count,16,service_private,9,count,7.0
38,dst_host_srv_count,15,service_private,10,count,7.0
39,dst_host_srv_count,25,count,7,,
40,dst_host_srv_count,15,service_private,10,count,7.0
41,dst_host_srv_count,24,count,7,service_private,1.0
42,dst_host_srv_count,22,count,7,service_private,3.0
43,dst_host_srv_count,15,service_private,10,count,7.0
44,dst_host_srv_count,16,service_private,9,count,7.0
45,dst_host_srv_count,25,count,7,,
46,dst_host_srv_count,15,service_private,10,count,7.0
47,dst_host_srv_count,20,count,7,service_private,5.0
48,dst_host_srv_count,25,count,7,,
49,dst_host_srv_count,15,service_private,10,count,7.0
50,dst_host_srv_count,15,service_private,10,count,7.0
51,dst_host_srv_count,15,service_private,10,count,7.0
52,dst_host_srv_count,15,service_private,10,count,7.0
53,dst_host_srv_count,19,count,7,service_private,6.0
54,dst_host_srv_count,20,count,7,service_private,5.0
55,dst_host_srv_count,17,service_private,8,count,7.0
56,dst_host_srv_count,25,count,7,,
57,dst_host_srv_count,15,service_private,10,count,7.0
58,dst_host_srv_count,18,count,7,service_private,7.0
59,dst_host_srv_count,19,count,7,service_private,6.0
60,dst_host_srv_count,15,service_private,10,count,7.0
61,dst_host_srv_count,15,service_private,10,count,7.0
62,dst_host_srv_count,15,service_private,10,count,7.0
63,dst_host_srv_count,25,count,7,,
64,dst_host_srv_count,15,service_private,10,count,7.0
65,dst_host_srv_count,15,service_private,10,count,7.0
66,dst_host_srv_count,25,count,7,,
67,dst_host_srv_count,21,count,7,service_private,4.0
68,dst_host_srv_count,15,service_private,10,count,7.0
69,dst_host_srv_count,25,count,7,,
70,dst_host_srv_count,15,service_private,10,count,7.0
71,dst_host_srv_count,24,count,7,service_private,1.0
72,dst_host_srv_count,15,service_private,10,count,7.0
73,dst_host_srv_count,16,service_private,9,count,7.0
74,dst_host_srv_count,15,service_private,10,count,7.0
75,dst_host_srv_count,15,service_private,10,count,7.0
76,dst_host_srv_count,25,count,7,,
77,dst_host_srv_count,24,count,7,service_private,1.0
78,dst_host_srv_count,23,count,7,service_private,2.0
79,dst_host_srv_count,15,service_private,10,count,7.0
80,dst_host_srv_count,15,service_private,10,count,7.0
81,dst_host_srv_count,15,service_private,10,count,7.0
82,dst_host_srv_count,22,count,7,service_private,3.0
83,dst_host_srv_count,23,count,7,service_private,2.0
84,dst_host_srv_count,15,service_private,10,count,7.0
85,dst_host_srv_count,21,count,7,service_private,4.0
86,dst_host_srv_count,15,service_private,10,count,7.0
87,dst_host_srv_count,15,service_private,10,count,7.0
88,dst_host_srv_count,15,service_private,10,count,7.0
89,dst_host_srv_count,15,service_private,10,count,7.0
90,dst_host_srv_count,15,service_private,10,count,7.0
91,dst_host_srv_count,17,service_private,8,count,7.0
92,dst_host_srv_count,15,service_private,10,count,7.0
93,dst_host_srv_count,15,service_private,10,count,7.0
94,dst_host_srv_count,15,service_private,10,count,7.0
95,dst_host_srv_count,19,count,7,service_private,6.0
96,dst_host_srv_count,15,service_private,10,count,7.0
97,dst_host_srv_count,15,service_private,10,count,7.0
98,dst_host_srv_count,15,service_private,10,count,7.0
99,dst_host_srv_count,15,dst_host_serror_rate,10,count,7.0
