epoch_number,rank1_feature,rank1_frequency
0,dst_host_srv_count,1
1,dst_host_srv_count,1
2,dst_host_srv_count,1
3,dst_host_srv_count,1
4,dst_host_srv_count,1
5,dst_host_srv_count,1
6,dst_host_srv_count,1
7,dst_host_srv_count,1
8,dst_host_srv_count,1
9,dst_host_srv_count,1
10,dst_host_srv_count,1
11,dst_host_srv_count,1
12,dst_host_srv_count,1
13,dst_host_srv_count,1
14,dst_host_srv_count,1
15,dst_host_srv_count,1
16,dst_host_srv_count,1
17,dst_host_srv_count,1
18,dst_host_srv_count,1
19,dst_host_srv_count,1
20,dst_host_srv_count,1
21,dst_host_srv_count,1
22,dst_host_srv_count,1
23,dst_host_srv_count,1
24,dst_host_srv_count,1
25,dst_host_srv_count,1
26,dst_host_srv_count,1
27,dst_host_srv_count,1
28,dst_host_srv_count,1
29,dst_host_srv_count,1
30,dst_host_srv_count,1
31,dst_host_srv_count,1
32,dst_host_srv_count,1
33,dst_host_srv_count,1
34,dst_host_srv_count,1
35,dst_host_srv_count,1
36,dst_host_srv_count,1
37,dst_host_srv_count,1
38,dst_host_srv_count,1
39,dst_host_srv_count,1
40,dst_host_srv_count,1
41,dst_host_srv_count,1
42,dst_host_srv_count,1
43,dst_host_srv_count,1
44,dst_host_srv_count,1
45,dst_host_srv_count,1
46,dst_host_srv_count,1
47,dst_host_srv_count,1
48,dst_host_srv_count,1
49,dst_host_srv_count,1
50,dst_host_srv_count,1
51,dst_host_srv_count,1
52,dst_host_srv_count,1
53,dst_host_srv_count,1
54,dst_host_srv_count,1
55,dst_host_srv_count,1
56,dst_host_srv_count,1
57,dst_host_srv_count,1
58,dst_host_srv_count,1
59,dst_host_srv_count,1
60,dst_host_srv_count,1
61,dst_host_srv_count,1
62,dst_host_srv_count,1
63,dst_host_srv_count,1
64,dst_host_srv_count,1
65,dst_host_srv_count,1
66,dst_host_srv_count,1
67,dst_host_srv_count,1
68,dst_host_srv_count,1
69,dst_host_srv_count,1
70,dst_host_srv_count,1
71,dst_host_srv_count,1
72,dst_host_srv_count,1
73,dst_host_srv_count,1
74,dst_host_srv_count,1
75,dst_host_srv_count,1
76,dst_host_srv_count,1
77,dst_host_srv_count,1
78,dst_host_srv_count,1
79,dst_host_srv_count,1
80,dst_host_srv_count,1
81,dst_host_srv_count,1
82,dst_host_srv_count,1
83,dst_host_srv_count,1
84,dst_host_srv_count,1
85,dst_host_srv_count,1
86,dst_host_srv_count,1
87,dst_host_srv_count,1
88,dst_host_srv_count,1
89,dst_host_srv_count,1
90,dst_host_srv_count,1
91,dst_host_srv_count,1
92,dst_host_srv_count,1
93,dst_host_srv_count,1
94,dst_host_srv_count,1
95,dst_host_srv_count,1
96,dst_host_srv_count,1
97,dst_host_srv_count,1
98,dst_host_srv_count,1
99,dst_host_srv_count,1
