epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias,neuron33_bias,neuron34_bias,neuron35_bias,neuron36_bias,neuron37_bias,neuron38_bias,neuron39_bias,neuron40_bias,neuron41_bias,neuron42_bias,neuron43_bias,neuron44_bias,neuron45_bias,neuron46_bias,neuron47_bias,neuron48_bias,neuron49_bias,neuron50_bias,neuron51_bias,neuron52_bias,neuron53_bias,neuron54_bias,neuron55_bias,neuron56_bias,neuron57_bias,neuron58_bias,neuron59_bias,neuron60_bias,neuron61_bias,neuron62_bias,neuron63_bias,neuron64_bias,neuron65_bias,neuron66_bias,neuron67_bias,neuron68_bias,neuron69_bias,neuron70_bias,neuron71_bias,neuron72_bias,neuron73_bias,neuron74_bias,neuron75_bias,neuron76_bias,neuron77_bias,neuron78_bias,neuron79_bias,neuron80_bias,neuron81_bias,neuron82_bias,neuron83_bias,neuron84_bias,neuron85_bias,neuron86_bias,neuron87_bias,neuron88_bias,neuron89_bias,neuron90_bias,neuron91_bias,neuron92_bias,neuron93_bias,neuron94_bias,neuron95_bias,neuron96_bias,neuron97_bias,neuron98_bias,neuron99_bias,neuron100_bias,neuron101_bias,neuron102_bias,neuron103_bias,neuron104_bias,neuron105_bias,neuron106_bias,neuron107_bias,neuron108_bias,neuron109_bias,neuron110_bias,neuron111_bias,neuron112_bias,neuron113_bias,neuron114_bias,neuron115_bias,neuron116_bias,neuron117_bias,neuron118_bias,neuron119_bias,neuron120_bias,neuron121_bias,neuron122_bias,neuron123_bias,neuron124_bias,neuron125_bias,neuron126_bias
0,-0.000610,0.037333,0.020848,0.001011,0.016676,0.046308,0.029109,0.054213,0.133464,0.055472,-0.011838,0.030612,0.039072,0.078801,0.000072,0.099324,-0.021394,0.042710,0.014238,0.012753,0.086917,0.088314,0.000505,0.018823,-0.004951,-0.000977,0.013511,0.034728,0.064905,0.032772,0.032403,-0.024288,0.115711,0.051313,0.049112,0.020639,0.045654,0.091094,0.140464,0.095608,0.161577,0.000753,0.064855,-0.003176,0.042423,0.019328,0.002504,-0.031782,0.005199,0.039478,0.034389,0.033389,0.051569,0.036243,0.043256,-0.011437,0.030175,0.017888,0.052254,-0.016223,-0.009176,0.006605,-0.025589,-0.016195,-0.000600,0.020007,0.038098,0.071643,0.030303,-0.024817,-0.005654,0.032935,-0.021296,0.017617,0.030721,0.064150,0.048856,0.028677,0.010118,-0.021219,-0.022577,0.044778,0.046587,0.026223,0.046568,0.066324,-0.022753,0.063102,0.037748,0.016757,0.052929,0.036881,0.035599,0.052221,0.001204,0.094529,0.060997,-0.001942,0.050370,0.005977,0.059119,0.062246,0.104783,-0.038145,0.042007,-0.007148,0.054885,0.067281,0.006786,0.025603,-0.032763,0.360469,-0.001346,-0.002428,0.019823,0.164417,-0.022625,0.044142,0.133539,0.058968,0.049057,-0.026578,-0.005160,0.001753,0.005666,0.029509
1,-0.000610,0.049446,0.017402,-0.002956,0.003832,0.005007,0.036161,0.062062,0.008972,0.056347,-0.011838,0.035942,0.048519,0.080450,-0.000000,0.020957,-0.026902,0.046296,0.022393,0.006676,0.067588,0.062811,-0.009586,0.017005,-0.004951,-0.000977,0.021922,0.038341,0.030422,0.040033,0.035164,-0.024288,0.091777,0.057593,0.067109,0.031881,0.051325,0.044650,0.091305,0.089231,0.105911,0.007317,0.060934,-0.003176,0.045768,0.033248,-0.000000,-0.031782,0.012339,0.036929,0.021608,0.032944,0.034798,0.036794,0.044499,-0.011437,0.035592,0.004084,0.040060,-0.016223,-0.009176,0.000013,-0.025589,-0.016195,-0.000600,0.004054,0.037036,0.047012,0.033533,-0.024817,-0.010360,0.031797,-0.021296,0.001275,0.031342,0.075597,0.057181,0.029573,0.023221,-0.021219,-0.022577,0.044574,0.008561,0.007334,0.050905,0.066283,-0.022753,0.072877,0.045234,0.004439,0.059315,0.040529,0.037058,0.053082,0.000000,0.019291,0.064737,-0.006326,0.050436,0.000382,0.062199,0.067412,0.100384,-0.038145,0.046519,-0.007148,0.070948,0.065845,0.000085,0.013731,-0.032763,0.236595,-0.000629,-0.002428,0.024918,0.117721,-0.022625,0.050615,0.032869,0.051674,0.045793,-0.026578,-0.005195,0.000030,0.000557,0.030841
2,-0.000610,0.050175,0.005669,-0.009140,0.000113,-0.000001,0.032403,0.065075,-0.000004,0.056596,-0.011838,0.037256,0.051148,0.080879,-0.000000,0.000023,-0.029496,0.047530,0.026573,0.001827,0.056897,0.027758,-0.013929,0.006229,-0.004951,-0.000977,0.022885,0.024863,0.003404,0.040779,0.038415,-0.024288,0.058140,0.045098,0.071608,0.034229,0.055516,0.006134,0.021834,0.082542,0.027155,0.001829,0.056704,-0.003176,0.046566,0.030475,-0.000000,-0.031782,0.015920,0.026636,0.006956,0.024931,0.012430,0.036250,0.032896,-0.011437,0.033376,-0.007142,0.026098,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.009186,0.032114,0.018775,0.038453,-0.024817,-0.012807,0.040442,-0.021296,-0.000000,0.028933,0.076673,0.063147,0.030275,0.027034,-0.021219,-0.022577,0.050803,-0.000011,0.000362,0.044078,0.057241,-0.022753,0.075895,0.042611,0.000159,0.063987,0.033225,0.036798,0.053581,-0.000000,0.000101,0.065499,-0.006326,0.051345,-0.000000,0.062216,0.068253,0.088416,-0.038145,0.046657,-0.007148,0.075205,0.071803,-0.000001,0.002619,-0.032763,0.086162,-0.000629,-0.002428,0.017840,0.039202,-0.022625,0.054034,-0.000176,0.041821,0.043733,-0.026578,-0.005195,-0.000000,-0.000044,0.028799
3,-0.000610,0.052119,0.000792,-0.012978,-0.000000,-0.000001,0.022012,0.066181,-0.000004,0.053442,-0.011838,0.039008,0.053865,0.082560,-0.000000,-0.000000,-0.035906,0.045095,0.028499,-0.000995,0.048573,0.005463,-0.015043,0.000754,-0.004951,-0.000977,0.023397,0.011563,0.000007,0.041365,0.039394,-0.024288,0.025570,0.042835,0.072372,0.032982,0.048287,0.000054,0.001102,0.073443,0.001645,0.000068,0.051051,-0.003176,0.047333,0.030379,-0.000000,-0.031782,0.016685,0.015213,0.000691,0.018465,0.001807,0.032292,0.016754,-0.011437,0.027571,-0.013536,0.010706,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.016129,0.027450,0.003080,0.037909,-0.024817,-0.017728,0.044693,-0.021296,-0.000000,0.029984,0.077145,0.067597,0.029896,0.026787,-0.021219,-0.022577,0.049915,-0.000011,-0.000002,0.040367,0.042893,-0.022753,0.074584,0.041464,0.000000,0.063893,0.031086,0.034553,0.053110,-0.000000,-0.000035,0.064542,-0.006326,0.047645,-0.000000,0.064122,0.065907,0.069438,-0.038145,0.044028,-0.007148,0.080148,0.071573,-0.000001,0.000053,-0.032763,0.015228,-0.000629,-0.002428,0.008674,0.003990,-0.022625,0.056598,-0.000177,0.036359,0.050939,-0.026578,-0.005195,-0.000000,-0.000044,0.025622
4,-0.000610,0.043231,0.000002,-0.014934,-0.000000,-0.000001,0.009232,0.065821,-0.000004,0.051690,-0.011838,0.035467,0.051971,0.076586,-0.000000,-0.000000,-0.039264,0.041090,0.029267,-0.005039,0.031358,-0.000007,-0.014651,0.000000,-0.004951,-0.000977,0.020594,0.002783,-0.000000,0.038920,0.038999,-0.024288,0.002555,0.031613,0.072564,0.032847,0.042617,-0.000001,-0.000003,0.057748,-0.000001,-0.000000,0.041395,-0.003176,0.046605,0.026344,-0.000000,-0.031782,0.022010,0.000608,-0.000003,0.008796,0.000000,0.027344,0.003244,-0.011437,0.025598,-0.020123,0.001251,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.020928,0.021713,-0.000000,0.038828,-0.024817,-0.017175,0.047060,-0.021296,-0.000000,0.023286,0.075662,0.069338,0.027355,0.029869,-0.021219,-0.022577,0.046300,-0.000011,-0.000002,0.039389,0.022159,-0.022753,0.079731,0.032620,-0.000000,0.056123,0.028692,0.032341,0.049257,-0.000000,-0.000035,0.060039,-0.006326,0.045160,-0.000000,0.063216,0.061668,0.050940,-0.038145,0.042122,-0.007148,0.081922,0.066770,-0.000001,-0.000000,-0.032763,0.000012,-0.000629,-0.002428,0.000955,-0.000425,-0.022625,0.055294,-0.000177,0.023757,0.057026,-0.026578,-0.005195,-0.000000,-0.000044,0.022449
5,-0.000610,0.027703,-0.000000,-0.018692,-0.000000,-0.000001,0.001600,0.062508,-0.000004,0.054946,-0.011838,0.037047,0.052818,0.070729,-0.000000,-0.000000,-0.040331,0.038892,0.028175,-0.007834,0.013984,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,0.012026,0.000865,-0.000000,0.042012,0.036342,-0.024288,-0.000090,0.022455,0.069872,0.038016,0.036463,-0.000001,-0.000003,0.037031,-0.000001,-0.000000,0.035312,-0.003176,0.048318,0.025001,-0.000000,-0.031782,0.024281,-0.011897,-0.000003,0.000694,-0.000000,0.027417,-0.000166,-0.011437,0.023228,-0.024876,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.027479,0.015825,-0.000000,0.038967,-0.024817,-0.020993,0.046059,-0.021296,-0.000000,0.014560,0.076900,0.070831,0.029056,0.033528,-0.021219,-0.022577,0.042739,-0.000011,-0.000002,0.039588,0.005983,-0.022753,0.077169,0.030351,-0.000000,0.049269,0.026563,0.032037,0.048932,-0.000000,-0.000035,0.047459,-0.006326,0.045559,-0.000000,0.060331,0.051657,0.031735,-0.038145,0.042013,-0.007148,0.076543,0.058106,-0.000001,-0.000000,-0.032763,-0.000001,-0.000629,-0.002428,0.000011,-0.000425,-0.022625,0.051184,-0.000177,0.012406,0.062287,-0.026578,-0.005195,-0.000000,-0.000044,0.023553
6,-0.000610,0.011418,-0.000000,-0.018897,-0.000000,-0.000001,0.000004,0.058149,-0.000004,0.050980,-0.011838,0.036254,0.051604,0.059003,-0.000000,-0.000000,-0.043193,0.034605,0.026421,-0.008372,0.003057,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,0.004291,-0.000086,-0.000000,0.038341,0.036542,-0.024288,-0.000090,0.014935,0.067695,0.033694,0.038568,-0.000001,-0.000003,0.016393,-0.000001,-0.000000,0.034785,-0.003176,0.048347,0.030133,-0.000000,-0.031782,0.026782,-0.014684,-0.000003,0.000016,-0.000000,0.023648,-0.000167,-0.011437,0.019962,-0.028953,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.029103,0.006818,-0.000000,0.040564,-0.024817,-0.022482,0.048162,-0.021296,-0.000000,0.004354,0.072042,0.069761,0.025639,0.035891,-0.021219,-0.022577,0.039218,-0.000011,-0.000002,0.037739,0.000374,-0.022753,0.075008,0.027979,-0.000000,0.043447,0.032665,0.028070,0.047121,-0.000000,-0.000035,0.033475,-0.006326,0.044447,-0.000000,0.058583,0.034276,0.016283,-0.038145,0.042393,-0.007148,0.076515,0.049619,-0.000001,-0.000000,-0.032763,-0.000001,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,0.041469,-0.000177,0.006638,0.063028,-0.026578,-0.005195,-0.000000,-0.000044,0.016135
7,-0.000610,0.001862,-0.000000,-0.018560,-0.000000,-0.000001,-0.000000,0.050230,-0.000004,0.052670,-0.011838,0.034401,0.050007,0.041503,-0.000000,-0.000000,-0.041544,0.033123,0.026466,-0.008802,0.000094,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000089,-0.000086,-0.000000,0.037867,0.037283,-0.024288,-0.000090,0.006811,0.066022,0.031405,0.037159,-0.000001,-0.000003,0.002419,-0.000001,-0.000000,0.037841,-0.003176,0.050925,0.026279,-0.000000,-0.031782,0.023868,-0.024189,-0.000003,-0.000003,-0.000000,0.027436,-0.000167,-0.011437,0.020605,-0.036560,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.035908,0.000529,-0.000000,0.040451,-0.024817,-0.023811,0.051303,-0.021296,-0.000000,-0.000225,0.068038,0.061775,0.025979,0.038508,-0.021219,-0.022577,0.036975,-0.000011,-0.000002,0.039461,-0.000382,-0.022753,0.069286,0.029456,-0.000000,0.037441,0.033770,0.027313,0.043998,-0.000000,-0.000035,0.015748,-0.006326,0.037557,-0.000000,0.057215,0.013993,0.004922,-0.038145,0.036858,-0.007148,0.072908,0.034834,-0.000001,-0.000000,-0.032763,-0.000001,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,0.028322,-0.000177,0.002108,0.065625,-0.026578,-0.005195,-0.000000,-0.000044,0.012855
8,-0.000610,-0.000008,-0.000000,-0.019005,-0.000000,-0.000001,-0.000000,0.036236,-0.000004,0.054378,-0.011838,0.033448,0.050743,0.022363,-0.000000,-0.000000,-0.044431,0.031118,0.023659,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.000000,0.031953,0.035039,-0.024288,-0.000090,0.003026,0.060684,0.029847,0.038345,-0.000001,-0.000003,-0.002170,-0.000001,-0.000000,0.036169,-0.003176,0.048821,0.032696,-0.000000,-0.031782,0.021418,-0.028288,-0.000003,-0.000003,-0.000000,0.023863,-0.000167,-0.011437,0.018316,-0.038592,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.036421,-0.002114,-0.000000,0.039271,-0.024817,-0.025426,0.048028,-0.021296,-0.000000,-0.000274,0.056803,0.053771,0.026726,0.038807,-0.021219,-0.022577,0.032945,-0.000011,-0.000002,0.039531,-0.000382,-0.022753,0.062417,0.027298,-0.000000,0.027628,0.039238,0.025952,0.041796,-0.000000,-0.000035,0.004136,-0.006326,0.037229,-0.000000,0.053289,0.003311,0.000073,-0.038145,0.035845,-0.007148,0.071018,0.018694,-0.000001,-0.000000,-0.032763,-0.000001,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,0.014837,-0.000177,-0.000731,0.067453,-0.026578,-0.005195,-0.000000,-0.000044,0.008163
9,-0.000610,-0.000008,-0.000000,-0.018537,-0.000000,-0.000001,-0.000000,0.019803,-0.000003,0.047608,-0.011838,0.030998,0.047880,0.006623,-0.000000,-0.000000,-0.045971,0.026471,0.022810,-0.008704,-0.000036,-0.000007,-0.014651,-0.000000,-0.004951,-0.000977,-0.000331,-0.000086,-0.000000,0.030048,0.031109,-0.024288,-0.000090,0.000558,0.058549,0.027741,0.039490,-0.000001,-0.000003,-0.002170,-0.000001,-0.000000,0.037379,-0.003176,0.048408,0.033913,-0.000000,-0.031782,0.015699,-0.027711,-0.000003,-0.000003,-0.000000,0.016438,-0.000167,-0.011437,0.017792,-0.040419,-0.000017,-0.016223,-0.009176,-0.000017,-0.025589,-0.016195,-0.000600,-0.035461,-0.002114,-0.000000,0.035344,-0.024817,-0.027520,0.049724,-0.021296,-0.000000,-0.000274,0.042158,0.042731,0.022119,0.040519,-0.021219,-0.022577,0.030770,-0.000011,-0.000002,0.040931,-0.000382,-0.022753,0.049355,0.024819,-0.000000,0.019090,0.043735,0.019748,0.037526,-0.000000,-0.000035,0.000015,-0.006326,0.034835,-0.000000,0.053375,0.000073,-0.000010,-0.038145,0.031464,-0.007148,0.067662,0.005810,-0.000001,-0.000000,-0.032763,-0.000001,-0.000629,-0.002428,-0.000077,-0.000425,-0.022625,0.003003,-0.000177,-0.000731,0.070025,-0.026578,-0.005195,-0.000000,-0.000044,0.002880
