epoch,neurons_positive,neurons_negative,neurons_zero,mean_incl_zero,median_incl_zero,std_incl_zero,min_incl_zero,max_incl_zero,q1_incl_zero,q3_incl_zero,skewness_incl_zero,kurtosis_incl_zero,mode_incl_zero,mean_excl_zero,median_excl_zero,std_excl_zero,min_excl_zero,max_excl_zero,q1_excl_zero,q3_excl_zero,skewness_excl_zero,kurtosis_excl_zero,mode_excl_zero
0.0,95,0,31,0.0038950158730158726,0.001509,0.005390027374233468,0.0,0.026986,1.2499999999999999e-06,0.0064265,1.840935222259793,3.5149289879736747,0.0,0.005166021052631577,0.003632,0.005653902264861802,1e-06,0.026986,0.000717,0.0071815,1.5364267371981895,2.376360527764259,9.5e-05
1.0,84,0,42,0.0038186349206349207,0.000711,0.005727363329490012,0.0,0.025784,0.0,0.0058850000000000005,1.9431207607300192,3.461261040664354,0.0,0.005727952380952381,0.003966,0.006186077640085112,1e-06,0.025784,0.000743,0.00724775,1.4754443410837061,1.6465860272930124,2e-06
2.0,73,0,53,0.0039440079365079365,0.000269,0.006115431102009823,0.0,0.02537,0.0,0.005938,1.7999756733520862,2.5059520410882135,0.0,0.006807465753424658,0.004677,0.006712521164645478,1e-06,0.02537,0.001946,0.009047,1.139187601242844,0.3917221423684376,1e-06
3.0,67,0,59,0.004004507936507936,2.4999999999999998e-06,0.006195520419287633,0.0,0.024111,0.0,0.00567,1.772970735336886,2.288556274284314,0.0,0.007530865671641791,0.005369,0.0067549388916345555,1e-06,0.024111,0.0027955000000000002,0.009932,1.047638693596599,0.03230496713319031,1e-06
4.0,60,0,66,0.004238380952380952,0.0,0.006862779312102447,0.0,0.02776,0.0,0.006221000000000001,1.702239899276767,1.8861979241731834,0.0,0.0089006,0.0063805,0.007576853364469096,2e-06,0.02776,0.0026715,0.01294175,0.769872325486746,-0.5115523211377204,2e-06
5.0,58,0,68,0.003992769841269841,0.0,0.006860203950370409,0.0,0.027263,0.0,0.005327,1.7076904664534946,1.6751839384812266,0.0,0.008673948275862068,0.005912000000000001,0.007850777252147832,1e-06,0.027263,0.00197925,0.01525225,0.6287074384322667,-0.9159887844423271,2e-06
6.0,53,0,73,0.004139888888888888,0.0,0.007183374135584289,0.0,0.02713,0.0,0.00580725,1.634407934972842,1.3577115575320713,0.0,0.009842,0.008749,0.008158037418907926,1e-06,0.02713,0.00275,0.016535,0.3943282808172028,-1.1360705492003422,1e-06
7.0,49,0,77,0.004144253968253968,0.0,0.0073856312848112485,0.0,0.028012,0.0,0.00452625,1.6337464013085614,1.2402018666009527,0.0,0.01065665306122449,0.009022,0.008418120306331954,1e-06,0.028012,0.003362,0.018499,0.24076039421677917,-1.326133667486994,2e-06
8.0,45,0,81,0.004151896825396826,0.0,0.007650346102586143,0.0,0.029741,0.0,0.004223,1.7484617903410764,1.8516814688386338,0.0,0.011625311111111111,0.011819,0.008774796934205556,1e-06,0.029741,0.003546,0.018203,0.2622965999593489,-1.013022973343988,1e-06
9.0,41,0,85,0.004096380952380952,0.0,0.007512504496321864,0.0,0.026968,0.0,0.00502575,1.6149510133074643,1.1648090073149593,0.0,0.01258887804878049,0.014212,0.008156699742692812,1e-06,0.026968,0.0053,0.018667,-0.11202020187250808,-1.1345964388672183,1e-06
10.0,42,0,84,0.004132349206349206,0.0,0.007765844802537748,0.0,0.030597,0.0,0.00475125,1.7277981388459849,1.736601612934824,0.0,0.012397047619047617,0.013828,0.008858170054363268,2e-06,0.030597,0.00522325,0.0190925,0.08445678956712903,-0.9966810206412791,2e-06
11.0,38,0,88,0.004128047619047619,0.0,0.008131278708922534,0.0,0.03471,0.0,0.00211975,1.9578189872143963,2.906312379615005,0.0,0.013687736842105263,0.01363,0.009401161713444081,1e-06,0.03471,0.006285,0.018898500000000002,0.2944345248880381,-0.5968666204929693,1e-06
12.0,36,0,90,0.003998952380952381,0.0,0.007824361205080814,0.0,0.035766,0.0,0.0032129999999999997,1.9760251251496288,3.154800888251323,0.0,0.013996333333333333,0.013537500000000001,0.008622384975554424,1e-06,0.035766,0.008119000000000001,0.018577749999999997,0.38027450682327624,-0.14561936853040525,1e-06
13.0,33,0,93,0.004124888888888889,0.0,0.008036430317101153,0.0,0.03352,0.0,0.00203775,1.8871434130932065,2.5525709477529697,0.0,0.015749575757575757,0.016065,0.007969339899017922,0.000615,0.03352,0.008657,0.020355,0.3000502283052895,-0.32294369834881254,0.000615
14.0,33,0,93,0.004031357142857142,0.0,0.008462804244104685,0.0,0.040454,0.0,0.001847,2.4679052358386753,6.135459744619384,0.0,0.015392454545454543,0.013167,0.009928715972067813,0.000695,0.040454,0.009542,0.0195,1.0927094069814631,0.7623049412854108,0.000695
15.0,33,0,93,0.004243420634920635,0.0,0.008868661516871868,0.0,0.036999,0.0,0.00080025,2.1605950581266447,3.788289776994959,0.0,0.016202151515151513,0.014603,0.01032254255184346,6e-06,0.036999,0.011305,0.021911,0.3970981003805663,-0.6525884697378883,6e-06
16.0,32,0,94,0.004094063492063492,0.0,0.008242002278058672,0.0,0.033945,0.0,4.9500000000000004e-05,1.90296349698938,2.426810984588787,0.0,0.016120375,0.0164845,0.008579515850814368,6.6e-05,0.033945,0.01089025,0.02233075,0.002614100185342106,-0.6182582180538971,6.6e-05
17.0,32,0,94,0.00410452380952381,0.0,0.008943531198416661,0.0,0.040168,0.0,1.5e-06,2.3762013196562233,5.17420092285796,0.0,0.0161615625,0.0144955,0.0109584325947461,2e-06,0.040168,0.009069,0.02014475,0.6077910545494349,-0.18213624103755777,2e-06
18.0,30,0,96,0.004154150793650792,0.0,0.008924709568052436,0.0,0.039088,0.0,0.0,2.1822960193703937,3.8350597881604607,0.0,0.01744743333333333,0.01588,0.010129076501778871,1.2e-05,0.039088,0.01180125,0.02474225,0.2927082061139172,-0.6261424505315714,1.2e-05
19.0,29,0,97,0.0040724047619047615,0.0,0.009035715689346774,0.0,0.040723,0.0,0.0,2.2769920769899685,4.211871361063478,0.0,0.01769389655172414,0.018163,0.010663607429153212,0.001374,0.040723,0.008312,0.022184,0.2886418584937406,-0.8456052020534535,0.001374
20.0,29,0,97,0.004102531746031746,0.0,0.009431053357895309,0.0,0.044415,0.0,0.0,2.500373921732357,5.786026388043112,0.0,0.017824793103448273,0.016133,0.01191021450740356,4.5e-05,0.044415,0.011468,0.023348,0.5447399479565754,-0.276062025341671,4.5e-05
21.0,29,0,97,0.004107484126984127,0.0,0.00955471331518965,0.0,0.042199,0.0,0.0,2.423314029714287,5.014942752224766,0.0,0.01784631034482758,0.016083,0.012307031248236329,2e-06,0.042199,0.012446,0.027402,0.31104968515839876,-0.8096222969037301,2e-06
22.0,26,0,100,0.003994833333333334,0.0,0.009315627636712032,0.0,0.041652,0.0,0.0,2.386984473267978,4.769869921529615,0.0,0.019359576923076924,0.0185235,0.011094987399629122,4e-06,0.041652,0.01164275,0.028328,0.2162593409107773,-0.7336828058270122,4e-06
23.0,25,0,101,0.004106515873015873,0.0,0.00959596744565143,0.0,0.043513,0.0,0.0,2.417754050942322,5.049888981404029,0.0,0.02069684,0.016816,0.01098767380906441,3e-06,0.043513,0.013447,0.031009,0.35583288607063474,-0.5020871434612748,3e-06
24.0,25,0,101,0.004113896825396825,0.0,0.00982376887220146,0.0,0.041804,0.0,0.0,2.4170564342545466,4.743103018934896,0.0,0.02073404,0.017927,0.011907548793870215,1e-06,0.041804,0.010838,0.029049,0.10057812148783096,-1.0246262626219653,1e-06
25.0,24,0,102,0.004123563492063493,0.0,0.009640012669997628,0.0,0.043149,0.0,0.0,2.352888333421925,4.545732966063365,0.0,0.021648708333333332,0.019935500000000002,0.010415610077663746,0.002568,0.043149,0.01420225,0.029864500000000002,0.2459532543164606,-0.6922308591723465,0.002568
26.0,24,0,102,0.004212460317460318,0.0,0.010006516436049722,0.0,0.046339,0.0,0.0,2.4364416253758585,5.046953455370165,0.0,0.022115416666666665,0.0185975,0.011390922240672858,0.001107,0.046339,0.0145005,0.03058775,0.2888698172880684,-0.6599773671759035,0.001107
27.0,23,0,103,0.004201325396825397,0.0,0.010077567161085082,0.0,0.047139,0.0,0.0,2.4516735109317325,5.16942027354896,0.0,0.02301595652173913,0.019624,0.011104997917029975,0.001123,0.047139,0.0162815,0.0311935,0.33374911513903704,-0.4644044189159837,0.001123
28.0,23,0,103,0.004240999999999999,0.0,0.010329854541147702,0.0,0.046541,0.0,0.0,2.5377354834961174,5.610942314797505,0.0,0.02323330434782609,0.018796,0.011971162895946469,0.000449,0.046541,0.015536,0.032499,0.3786620379775858,-0.7575877339705568,0.000449
29.0,23,0,103,0.004095769841269842,0.0,0.009667457493236518,0.0,0.041111,0.0,0.0,2.327202479069424,4.306527862030611,0.0,0.02243769565217392,0.018381,0.010022287998928158,0.00164,0.041111,0.016627000000000003,0.030274500000000003,0.12796700553461043,-0.7229348930118795,0.00164
30.0,23,0,103,0.004108722222222221,0.0,0.010149390843898197,0.0,0.051743,0.0,0.0,2.696021164427357,6.896079987302045,0.0,0.022508652173913044,0.019304,0.012253928582503815,0.001061,0.051743,0.0138065,0.029249999999999998,0.6705465095546108,-0.18236156797456937,0.001061
31.0,23,0,103,0.004218063492063492,0.0,0.010382592135699361,0.0,0.058942,0.0,0.0,2.7624399671418414,7.912210671903132,0.0,0.023107652173913047,0.022248,0.012411797713776705,0.000559,0.058942,0.016892499999999998,0.026463,0.9432862721330078,1.2070916921899313,0.000559
32.0,23,0,103,0.004229142857142858,0.0,0.010227547534325783,0.0,0.043884,0.0,0.0,2.4490459895189898,4.935644910286899,0.0,0.023168347826086958,0.019809,0.011586671070144033,0.000971,0.043884,0.0158195,0.033603,0.17417407880831628,-0.9955104658224956,0.000971
33.0,23,0,103,0.004165269841269842,0.0,0.010234759586829657,0.0,0.057056,0.0,0.0,2.765567412492401,7.947312237255437,0.0,0.0228184347826087,0.01944,0.012174295161549572,0.000694,0.057056,0.015405499999999999,0.02938,0.9877230134787741,1.2448505463820219,0.000694
34.0,23,0,103,0.0041960952380952375,0.0,0.010033910311228958,0.0,0.04829,0.0,0.0,2.3944496823319854,4.863529087040709,0.0,0.02298730434782609,0.020477,0.010935654265370694,0.000456,0.04829,0.0180385,0.029977,0.15689500079962254,-0.07768557490503802,0.000456
35.0,23,0,103,0.004171198412698413,0.0,0.010605941255026678,0.0,0.057353,0.0,0.0,2.914806551204509,8.668747358393242,0.0,0.022850913043478267,0.021951,0.013761506536943972,0.000289,0.057353,0.014076,0.0266905,0.861290665807415,0.3886971497230851,0.000289
36.0,23,0,103,0.004104103174603174,0.0,0.010162964763834532,0.0,0.052775,0.0,0.0,2.630132720920652,6.366686721454085,0.0,0.022483347826086953,0.020448,0.012353133021393172,0.000796,0.052775,0.014367000000000001,0.032465,0.4305560407109691,-0.29139359222304684,0.000796
37.0,23,0,103,0.0041311666666666675,0.0,0.01006876127904741,0.0,0.046033,0.0,0.0,2.498260451292333,5.424880752090656,0.0,0.02263160869565217,0.020466,0.011691495566693397,0.00024,0.046033,0.0159085,0.031351000000000004,0.22996656160844564,-0.430647784358837,0.00024
38.0,24,0,102,0.004057182539682539,0.0,0.00968882175040514,0.0,0.04619,0.0,0.0,2.381683313830247,4.773313468730078,0.0,0.021300208333333334,0.0200655,0.011205115331026149,0.000166,0.04619,0.01575375,0.029526499999999997,0.024726020687066173,-0.228325108043836,0.000166
39.0,23,0,103,0.004162714285714286,0.0,0.010204843771197961,0.0,0.048993,0.0,0.0,2.6004460041110913,6.188907956571914,0.0,0.022804434782608695,0.020764,0.012057603954157389,8e-06,0.048993,0.015074,0.028855,0.4868680126303906,-0.3018699032957639,8e-06
40.0,22,0,104,0.00408713492063492,0.0,0.009977791569720252,0.0,0.047223,0.0,0.0,2.585471555444066,6.151798084858166,0.0,0.023408136363636364,0.0204635,0.010858986430583048,0.00513,0.047223,0.016309249999999997,0.02920475,0.768943284288136,-0.2219141622022871,0.00513
