epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias,neuron33_bias,neuron34_bias,neuron35_bias,neuron36_bias,neuron37_bias,neuron38_bias,neuron39_bias,neuron40_bias,neuron41_bias,neuron42_bias,neuron43_bias,neuron44_bias,neuron45_bias,neuron46_bias,neuron47_bias,neuron48_bias,neuron49_bias,neuron50_bias,neuron51_bias,neuron52_bias,neuron53_bias,neuron54_bias,neuron55_bias,neuron56_bias,neuron57_bias,neuron58_bias,neuron59_bias,neuron60_bias,neuron61_bias,neuron62_bias,neuron63_bias,neuron64_bias
0,0.035419,0.040286,0.131242,0.204701,-0.012948,0.117571,-0.010895,0.085264,0.024602,0.000027,0.104779,-0.031061,0.070104,0.024571,0.123548,-0.048973,0.113639,0.133068,0.132190,0.212379,0.092823,0.165047,0.138762,0.113361,-0.026597,-0.020533,0.128538,0.051805,0.112825,0.177841,0.178146,0.115574,-0.019140,0.130781,0.119702,0.124716,-0.041386,0.123751,-0.033881,0.085975,0.084457,0.126293,0.114103,0.103670,-0.018794,0.029795,0.115286,0.064396,0.000033,0.104623,0.062255,0.114818,0.216389,0.100602,0.104833,0.091583,0.125996,0.065868,-0.043888,0.088271,0.188110,0.136453,-0.025036,0.111601
1,0.038004,0.070445,0.115084,0.184935,-0.012948,0.142512,-0.010895,0.086387,0.012748,-0.000000,0.114633,-0.031061,0.061749,0.012854,0.109043,-0.048973,0.097569,0.119767,0.142477,0.199681,0.099121,0.110273,0.147944,0.141941,-0.026597,-0.020533,0.082927,0.059542,0.115345,0.129803,0.137403,0.135465,-0.019140,0.136576,0.141783,0.146849,-0.041386,0.111804,-0.033881,0.096650,0.095868,0.143759,0.154077,0.127124,-0.018794,0.012324,0.138539,0.081574,-0.000010,0.111267,0.093800,0.115743,0.200865,0.103313,0.110683,0.096871,0.148454,0.102952,-0.043888,0.094890,0.193809,0.159372,-0.025036,0.139430
2,0.033280,0.077255,0.104777,0.163208,-0.012948,0.142227,-0.010895,0.088168,0.000003,-0.000000,0.098289,-0.031061,0.043428,0.000064,0.091250,-0.048973,0.092842,0.093178,0.130920,0.166605,0.094714,0.087911,0.136319,0.120974,-0.026597,-0.020533,0.055903,0.051183,0.089916,0.096100,0.108128,0.129466,-0.019140,0.138235,0.134366,0.145173,-0.041386,0.099111,-0.033881,0.095623,0.085121,0.132554,0.138623,0.118715,-0.018794,0.000175,0.122278,0.077248,-0.000010,0.089228,0.076938,0.100953,0.158036,0.089384,0.096439,0.088794,0.125522,0.088037,-0.043888,0.083687,0.156704,0.149564,-0.025036,0.120960
3,0.036115,0.069088,0.082751,0.141053,-0.012948,0.123687,-0.010895,0.082010,-0.000000,-0.000000,0.083654,-0.031061,0.070329,-0.000000,0.066072,-0.048973,0.072105,0.081076,0.120419,0.141385,0.088927,0.078380,0.122718,0.103424,-0.026597,-0.020533,0.047431,0.054312,0.078267,0.085914,0.097595,0.111175,-0.019140,0.129045,0.125349,0.139336,-0.041386,0.082606,-0.033881,0.088778,0.076992,0.120421,0.113609,0.111616,-0.018794,0.000000,0.112702,0.077818,-0.000010,0.079493,0.053474,0.075972,0.139544,0.079824,0.081908,0.066303,0.118497,0.082143,-0.043888,0.071518,0.127398,0.127459,-0.025036,0.109607
4,0.042737,0.058434,0.070304,0.110193,-0.012948,0.099641,-0.010895,0.075588,-0.000000,-0.000000,0.071915,-0.031061,0.065381,-0.000000,0.072713,-0.048973,0.061410,0.072162,0.104260,0.122991,0.075793,0.066889,0.107671,0.089397,-0.026597,-0.020533,0.039918,0.054668,0.064730,0.065046,0.072465,0.097916,-0.019140,0.102793,0.098754,0.111147,-0.041386,0.068254,-0.033881,0.079512,0.067282,0.110704,0.096243,0.090522,-0.018794,-0.000000,0.101665,0.065437,-0.000010,0.056856,0.050377,0.064596,0.111287,0.071688,0.072375,0.053020,0.093041,0.066516,-0.043888,0.066403,0.107586,0.116845,-0.025036,0.095392
5,0.052200,0.061876,0.055117,0.081056,-0.012948,0.080824,-0.010895,0.069378,-0.000000,-0.000000,0.069021,-0.031061,0.057832,-0.000000,0.061383,-0.048973,0.055110,0.057499,0.078564,0.096495,0.065485,0.059393,0.083739,0.084754,-0.026597,-0.020533,0.040331,0.050188,0.065912,0.057998,0.061119,0.087703,-0.019140,0.086767,0.074223,0.085890,-0.041386,0.069321,-0.033881,0.057759,0.052578,0.092110,0.089738,0.074704,-0.018794,-0.000000,0.085790,0.063671,-0.000010,0.062289,0.046470,0.060562,0.075650,0.058730,0.063235,0.049459,0.091121,0.064946,-0.043888,0.061579,0.086330,0.089320,-0.025036,0.081115
6,0.054960,0.060715,0.048459,0.070234,-0.012948,0.070397,-0.010895,0.053512,-0.000000,-0.000000,0.050051,-0.031061,0.053431,-0.000000,0.059258,-0.048973,0.053046,0.051707,0.071719,0.068185,0.058353,0.060386,0.076125,0.059425,-0.026597,-0.020533,0.043535,0.056168,0.061449,0.058598,0.061608,0.064859,-0.019140,0.080355,0.058129,0.079771,-0.041386,0.064057,-0.033881,0.053834,0.054423,0.084374,0.070246,0.071538,-0.018794,-0.000000,0.078466,0.052035,-0.000010,0.056834,0.038648,0.050066,0.062596,0.066870,0.056714,0.052383,0.078061,0.057614,-0.043888,0.051076,0.067543,0.069522,-0.025036,0.057938
7,0.045856,0.063328,0.053572,0.050237,-0.012948,0.049148,-0.010895,0.048677,-0.000000,-0.000000,0.049875,-0.031061,0.038173,-0.000000,0.054286,-0.048973,0.063006,0.045504,0.052702,0.060384,0.061338,0.061301,0.049615,0.045174,-0.026597,-0.020533,0.044847,0.063084,0.055120,0.052747,0.061222,0.057436,-0.019140,0.055394,0.053659,0.067412,-0.041386,0.060243,-0.033881,0.051209,0.053320,0.060200,0.066328,0.057677,-0.018794,-0.000000,0.072285,0.043477,-0.000010,0.052670,0.030933,0.053207,0.050615,0.063510,0.054652,0.053918,0.067072,0.052566,-0.043888,0.054169,0.050324,0.058547,-0.025036,0.058614
8,0.046085,0.064291,0.057161,0.051601,-0.012948,0.053315,-0.010895,0.056172,-0.000000,-0.000000,0.050527,-0.031061,0.035580,-0.000000,0.047807,-0.048973,0.057541,0.048152,0.056654,0.048846,0.054231,0.059958,0.040822,0.041637,-0.026597,-0.020533,0.044934,0.056246,0.058813,0.060722,0.049691,0.046924,-0.019140,0.049234,0.037134,0.054123,-0.041386,0.047339,-0.033881,0.044859,0.049212,0.058864,0.060160,0.043411,-0.018794,-0.000000,0.058646,0.049212,-0.000010,0.047915,0.025016,0.054293,0.041417,0.066968,0.052674,0.048328,0.054570,0.046490,-0.043888,0.050163,0.043999,0.053180,-0.025036,0.051131
9,0.048587,0.057759,0.046034,0.044933,-0.012948,0.046390,-0.010895,0.057633,-0.000000,-0.000000,0.049330,-0.031061,0.025002,-0.000000,0.041631,-0.048973,0.062324,0.054766,0.046137,0.041359,0.057902,0.051693,0.040083,0.035390,-0.026597,-0.020533,0.049336,0.053501,0.055616,0.055053,0.051269,0.043334,-0.019140,0.042569,0.030982,0.042248,-0.041386,0.050266,-0.033881,0.040184,0.046391,0.042882,0.052255,0.028235,-0.018794,-0.000000,0.042292,0.051425,-0.000010,0.045156,0.019573,0.063564,0.029047,0.059554,0.057007,0.046254,0.036372,0.042744,-0.043888,0.047098,0.044244,0.045076,-0.025036,0.051541
