epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias
0,0.190245,0.183256,0.201732,-0.052461,-0.043783,0.178109,0.166212,-0.030245,0.184164,-0.016175,0.180191,0.190051,0.175329,0.245407,0.220086,0.183930,-0.032804,0.177718,0.219796,0.207429,0.192703,-0.036194,0.191467,0.175358,0.194366,0.176250,0.198947,0.191902,-0.019313,0.181166,0.187128,0.190211
1,0.197457,0.208660,0.235334,-0.052461,-0.043783,0.163325,0.201031,-0.030245,0.195821,-0.016175,0.190114,0.194030,0.219275,0.234641,0.249836,0.225170,-0.032804,0.239069,0.246629,0.204771,0.177647,-0.036194,0.226708,0.229890,0.195819,0.192796,0.231885,0.234807,-0.019313,0.204440,0.226439,0.242736
2,0.173250,0.182335,0.226393,-0.052461,-0.043783,0.146403,0.197236,-0.030245,0.170698,-0.016175,0.166957,0.166866,0.206752,0.199084,0.246176,0.219181,-0.032804,0.228446,0.221962,0.171802,0.153981,-0.036194,0.202143,0.221937,0.168513,0.183846,0.216645,0.222438,-0.019313,0.177919,0.208143,0.224689
3,0.136331,0.156223,0.194704,-0.052461,-0.043783,0.117998,0.173184,-0.030245,0.139951,-0.016175,0.137369,0.140060,0.192235,0.160168,0.220316,0.187610,-0.032804,0.209984,0.195704,0.137167,0.132601,-0.036194,0.182764,0.190647,0.139038,0.176398,0.201969,0.202607,-0.019313,0.163349,0.196557,0.206940
4,0.110784,0.130878,0.177823,-0.052461,-0.043783,0.100386,0.155750,-0.030245,0.118885,-0.016175,0.104951,0.114023,0.156581,0.124966,0.187947,0.175010,-0.032804,0.192390,0.183111,0.109901,0.117229,-0.036194,0.149747,0.168266,0.112445,0.149596,0.177593,0.183329,-0.019313,0.132317,0.172673,0.179095
5,0.091184,0.102568,0.158402,-0.052461,-0.043783,0.087120,0.149841,-0.030245,0.099984,-0.016175,0.085409,0.090835,0.139610,0.102236,0.170461,0.150913,-0.032804,0.168033,0.149617,0.089158,0.088772,-0.036194,0.133437,0.157293,0.084636,0.132756,0.156968,0.161078,-0.019313,0.131619,0.156404,0.160957
6,0.076953,0.084204,0.141328,-0.052461,-0.043783,0.075056,0.134891,-0.030245,0.074141,-0.016175,0.065893,0.066900,0.126570,0.080040,0.146996,0.143425,-0.032804,0.146695,0.136830,0.076381,0.070885,-0.036194,0.123419,0.134836,0.073693,0.119782,0.138414,0.137702,-0.019313,0.130591,0.140525,0.138753
7,0.060866,0.062949,0.138855,-0.052461,-0.043783,0.055617,0.115527,-0.030245,0.063918,-0.016175,0.059006,0.062090,0.117077,0.067292,0.127230,0.120074,-0.032804,0.134027,0.120003,0.059586,0.062737,-0.036194,0.111680,0.131460,0.055647,0.108254,0.119829,0.122628,-0.019313,0.112996,0.128055,0.120795
8,0.054682,0.053149,0.115131,-0.052461,-0.043783,0.045561,0.122679,-0.030245,0.053648,-0.016175,0.044736,0.050911,0.109957,0.055302,0.116113,0.122199,-0.032804,0.132460,0.110889,0.052638,0.052269,-0.036194,0.106598,0.122459,0.045707,0.098864,0.110996,0.114522,-0.019313,0.112027,0.114473,0.121650
9,0.048588,0.043902,0.116835,-0.052461,-0.043783,0.044527,0.099645,-0.030245,0.048567,-0.016175,0.044821,0.043594,0.104397,0.046373,0.112037,0.109011,-0.032804,0.121174,0.110607,0.047668,0.042733,-0.036194,0.105936,0.104217,0.042292,0.095971,0.109031,0.108891,-0.019313,0.113084,0.105624,0.113892
