epoch,neuron1_bias
0,0.040863
1,0.043350
2,0.055347
3,0.056218
4,0.056141
5,0.052549
6,0.045755
7,0.033424
8,0.016657
9,0.002420
10,-0.016807
11,-0.032900
12,-0.051638
13,-0.068885
14,-0.092589
15,-0.114989
16,-0.131269
17,-0.145556
18,-0.162230
19,-0.176232
20,-0.194717
21,-0.208103
22,-0.222942
23,-0.241814
24,-0.257095
25,-0.272173
26,-0.286719
27,-0.302726
28,-0.318450
29,-0.330515
30,-0.340263
31,-0.355152
32,-0.365939
33,-0.378039
34,-0.390594
35,-0.397253
36,-0.410773
37,-0.418646
38,-0.425491
39,-0.434384
40,-0.445140
41,-0.455703
42,-0.462481
43,-0.468620
44,-0.476539
45,-0.484246
46,-0.491751
47,-0.500187
48,-0.504421
49,-0.508552
50,-0.518620
51,-0.524271
52,-0.529592
53,-0.535119
54,-0.538101
55,-0.545052
56,-0.549407
57,-0.553979
58,-0.563222
59,-0.568837
60,-0.574258
61,-0.578432
62,-0.581272
63,-0.582326
64,-0.586227
65,-0.590098
66,-0.592604
67,-0.596729
68,-0.604696
69,-0.609056
70,-0.609502
71,-0.611198
72,-0.615284
73,-0.617926
74,-0.616118
75,-0.620375
76,-0.618313
77,-0.620019
78,-0.623327
79,-0.629752
80,-0.631805
81,-0.629884
82,-0.633471
83,-0.633377
84,-0.633121
85,-0.637378
86,-0.635997
87,-0.635016
88,-0.638378
89,-0.640650
90,-0.641734
91,-0.640720
92,-0.639588
93,-0.640393
94,-0.642574
95,-0.643320
96,-0.643664
97,-0.644706
98,-0.644129
99,-0.643673
