epoch_number,neuron1_connection1,neuron1_connection2,neuron1_connection3,neuron1_connection4,neuron1_connection5,neuron1_connection6,neuron1_connection7,neuron1_connection8,neuron1_connection9,neuron1_connection10,neuron1_connection11,neuron1_connection12,neuron1_connection13,neuron1_connection14,neuron1_connection15,neuron1_connection16,neuron1_connection17,neuron1_connection18,neuron1_connection19,neuron1_connection20,neuron1_connection21,neuron1_connection22,neuron1_connection23,neuron1_connection24,neuron1_connection25,neuron1_connection26,neuron1_connection27,neuron1_connection28,neuron1_connection29,neuron1_connection30,neuron1_connection31,neuron1_connection32
0,0.725447,0.952548,-0.659066,0.262048,0.279545,0.462835,-0.471416,0.105399,0.801358,-0.224159,0.661405,0.758796,-0.621686,0.824575,-0.688846,-0.589557,0.083077,-0.753728,-0.718628,0.691670,0.567120,0.365651,-0.477225,-0.701484,0.660305,-0.391279,-0.581980,-0.848727,-0.323222,-0.440087,-0.710692,-0.699072
1,1.068349,1.319517,-0.932460,0.262048,0.279545,0.700190,-0.695720,0.105399,1.096376,-0.224159,0.909501,1.005742,-0.832136,1.284699,-1.024275,-0.802662,0.083077,-0.993602,-1.011335,1.050492,0.896790,0.365651,-0.715309,-0.963611,0.926002,-0.583295,-0.889718,-1.097421,-0.323222,-0.611886,-0.937154,-0.962855
2,1.375062,1.620887,-1.150987,0.262048,0.279545,0.939187,-0.893580,0.105399,1.370005,-0.224159,1.141191,1.239673,-1.008992,1.626761,-1.265778,-0.989253,0.083077,-1.186171,-1.218253,1.348043,1.194286,0.365651,-0.891843,-1.172128,1.179278,-0.761481,-1.110108,-1.295374,-0.323222,-0.758675,-1.124192,-1.155157
3,1.661427,1.918825,-1.335608,0.262048,0.279545,1.187666,-1.071248,0.105399,1.645160,-0.224159,1.386131,1.495932,-1.187065,1.926882,-1.464685,-1.159095,0.083077,-1.367890,-1.412005,1.639761,1.501711,0.365651,-1.067133,-1.349190,1.438266,-0.942031,-1.320686,-1.490231,-0.323222,-0.919334,-1.323520,-1.346236
4,1.946003,2.217490,-1.527526,0.262048,0.279545,1.466868,-1.251675,0.105399,1.933704,-0.224159,1.642079,1.765793,-1.347707,2.218681,-1.645468,-1.341769,0.083077,-1.549304,-1.609714,1.934199,1.812370,0.365651,-1.231007,-1.536027,1.714718,-1.108181,-1.511126,-1.688763,-0.323222,-1.083524,-1.510394,-1.523244
5,2.239317,2.505534,-1.714263,0.262048,0.279545,1.764387,-1.451032,0.105399,2.231355,-0.224159,1.909243,2.043553,-1.524430,2.521098,-1.832210,-1.511391,0.083077,-1.721754,-1.780900,2.225556,2.104842,0.365651,-1.411810,-1.726853,1.991289,-1.277637,-1.695742,-1.875343,-0.323222,-1.269514,-1.700271,-1.710584
6,2.541866,2.804832,-1.898691,0.262048,0.279545,2.079762,-1.632088,0.105399,2.506956,-0.224159,2.190536,2.323465,-1.715509,2.817662,-2.010084,-1.694964,0.083077,-1.899626,-1.976068,2.539565,2.416637,0.365651,-1.598931,-1.909712,2.296854,-1.462908,-1.884927,-2.062711,-0.323222,-1.461119,-1.893754,-1.891212
7,2.846723,3.093087,-2.105446,0.262048,0.279545,2.374086,-1.809447,0.105399,2.808341,-0.224159,2.499820,2.638933,-1.917478,3.114897,-2.197296,-1.872505,0.083077,-2.088221,-2.168524,2.846102,2.732633,0.365651,-1.795193,-2.115530,2.597172,-1.650589,-2.076327,-2.253831,-0.323222,-1.643095,-2.087999,-2.079346
8,3.159123,3.394667,-2.276351,0.262048,0.279545,2.666792,-2.004332,0.105399,3.111551,-0.224159,2.795383,2.942194,-2.111109,3.409122,-2.385829,-2.065952,0.083077,-2.280048,-2.363927,3.155250,3.025491,0.365651,-1.983899,-2.319230,2.904693,-1.832761,-2.265850,-2.458569,-0.323222,-1.827586,-2.271427,-2.281198
9,3.462120,3.686430,-2.476644,0.262048,0.279545,2.978316,-2.173667,0.105399,3.420753,-0.224159,3.107370,3.244563,-2.306948,3.712168,-2.581026,-2.241639,0.083077,-2.461261,-2.571242,3.469152,3.318689,0.365651,-2.183905,-2.500442,3.209549,-2.026088,-2.466650,-2.658964,-0.323222,-2.013440,-2.467580,-2.468611
10,3.781409,3.982717,-2.660621,0.262048,0.279545,3.311715,-2.367231,0.105399,3.728889,-0.224159,3.418724,3.546362,-2.507879,4.008975,-2.781539,-2.447315,0.083077,-2.633986,-2.782981,3.762701,3.621509,0.365651,-2.380007,-2.701494,3.526537,-2.228623,-2.675061,-2.868202,-0.323222,-2.181105,-2.661587,-2.663796
11,4.057227,4.257522,-2.843940,0.262048,0.279545,3.597204,-2.551836,0.105399,4.014686,-0.224159,3.725188,3.836224,-2.688909,4.304390,-2.960524,-2.612977,0.083077,-2.804432,-2.976968,4.048834,3.934429,0.365651,-2.568043,-2.889149,3.816769,-2.414840,-2.867536,-3.059485,-0.323222,-2.351661,-2.857237,-2.847909
12,4.330343,4.563208,-3.033116,0.262048,0.279545,3.895476,-2.737377,0.105399,4.316606,-0.224159,4.001843,4.130309,-2.878720,4.590461,-3.148223,-2.803057,0.083077,-2.991847,-3.170299,4.325487,4.232506,0.365651,-2.749118,-3.079257,4.113606,-2.582519,-3.048614,-3.242762,-0.323222,-2.527345,-3.052665,-3.035726
13,4.617977,4.851447,-3.235592,0.262048,0.279545,4.169614,-2.903576,0.105399,4.606312,-0.224159,4.294062,4.420904,-3.057118,4.890637,-3.348940,-2.985968,0.083077,-3.183640,-3.352848,4.624595,4.534388,0.365651,-2.918555,-3.277265,4.417089,-2.765015,-3.232457,-3.448484,-0.323222,-2.687791,-3.258408,-3.228523
14,4.889565,5.136792,-3.434001,0.262048,0.279545,4.458313,-3.092815,0.105399,4.885529,-0.224159,4.573699,4.699095,-3.253057,5.169730,-3.553784,-3.163342,0.083077,-3.386568,-3.568399,4.900813,4.805408,0.365651,-3.086966,-3.474256,4.699900,-2.936874,-3.431648,-3.633048,-0.323222,-2.849567,-3.457524,-3.423817
15,5.147651,5.410879,-3.601904,0.262048,0.279545,4.738186,-3.267934,0.105399,5.142321,-0.224159,4.859481,4.972250,-3.418074,5.435117,-3.730533,-3.338129,0.083077,-3.579440,-3.743502,5.162647,5.037345,0.365651,-3.257206,-3.646353,4.954897,-3.116128,-3.607346,-3.821842,-0.323222,-3.005144,-3.631505,-3.621237
16,5.401653,5.667909,-3.798783,0.262048,0.279545,5.000483,-3.445373,0.105399,5.418278,-0.224159,5.108897,5.239406,-3.599741,5.704094,-3.905750,-3.511139,0.083077,-3.761546,-3.929155,5.433766,5.335522,0.365651,-3.420231,-3.821292,5.222478,-3.294394,-3.780372,-4.013250,-0.323222,-3.183515,-3.826725,-3.786216
17,5.665923,5.938304,-3.987249,0.262048,0.279545,5.282090,-3.626419,0.105399,5.681583,-0.224159,5.389088,5.521189,-3.765126,5.972710,-4.081980,-3.676740,0.083077,-3.945622,-4.117996,5.715338,5.608854,0.365651,-3.587734,-3.991175,5.490763,-3.464389,-3.974082,-4.210047,-0.323222,-3.369173,-4.004855,-3.964118
