epoch,neuron1_count,neuron1_diff_srv_rate,neuron1_dst_bytes,neuron1_dst_host_count,neuron1_dst_host_diff_srv_rate,neuron1_dst_host_rerror_rate,neuron1_dst_host_same_src_port_rate,neuron1_dst_host_same_srv_rate,neuron1_dst_host_serror_rate,neuron1_dst_host_srv_count,neuron1_dst_host_srv_diff_host_rate,neuron1_dst_host_srv_rerror_rate,neuron1_dst_host_srv_serror_rate,neuron1_duration,neuron1_flag_OTH,neuron1_flag_REJ,neuron1_flag_RSTO,neuron1_flag_RSTOS0,neuron1_flag_RSTR,neuron1_flag_S0,neuron1_flag_S1,neuron1_flag_S2,neuron1_flag_S3,neuron1_flag_SF,neuron1_flag_SH,neuron1_hot,neuron1_is_guest_login_0,neuron1_is_guest_login_1,neuron1_is_host_login_0,neuron1_is_host_login_1,neuron1_land_0,neuron1_land_1,neuron1_logged_in_0,neuron1_logged_in_1,neuron1_num_access_files,neuron1_num_compromised,neuron1_num_failed_logins,neuron1_num_file_creations,neuron1_num_outbound_cmds,neuron1_num_root,neuron1_num_shells,neuron1_protocol_type_icmp,neuron1_protocol_type_tcp,neuron1_protocol_type_udp,neuron1_rerror_rate,neuron1_root_shell,neuron1_same_srv_rate,neuron1_serror_rate,neuron1_service_IRC,neuron1_service_X11,neuron1_service_Z39_50,neuron1_service_aol,neuron1_service_auth,neuron1_service_bgp,neuron1_service_courier,neuron1_service_csnet_ns,neuron1_service_ctf,neuron1_service_daytime,neuron1_service_discard,neuron1_service_domain,neuron1_service_domain_u,neuron1_service_echo,neuron1_service_eco_i,neuron1_service_ecr_i,neuron1_service_efs,neuron1_service_exec,neuron1_service_finger,neuron1_service_ftp,neuron1_service_ftp_data,neuron1_service_gopher,neuron1_service_harvest,neuron1_service_hostnames,neuron1_service_http,neuron1_service_http_2784,neuron1_service_http_443,neuron1_service_http_8001,neuron1_service_imap4,neuron1_service_iso_tsap,neuron1_service_klogin,neuron1_service_kshell,neuron1_service_ldap,neuron1_service_link,neuron1_service_login,neuron1_service_mtp,neuron1_service_name,neuron1_service_netbios_dgm,neuron1_service_netbios_ns,neuron1_service_netbios_ssn,neuron1_service_netstat,neuron1_service_nnsp,neuron1_service_nntp,neuron1_service_ntp_u,neuron1_service_other,neuron1_service_pm_dump,neuron1_service_pop_2,neuron1_service_pop_3,neuron1_service_printer,neuron1_service_private,neuron1_service_red_i,neuron1_service_remote_job,neuron1_service_rje,neuron1_service_shell,neuron1_service_smtp,neuron1_service_sql_net,neuron1_service_ssh,neuron1_service_sunrpc,neuron1_service_supdup,neuron1_service_systat,neuron1_service_telnet,neuron1_service_tftp_u,neuron1_service_tim_i,neuron1_service_time,neuron1_service_urh_i,neuron1_service_urp_i,neuron1_service_uucp,neuron1_service_uucp_path,neuron1_service_vmnet,neuron1_service_whois,neuron1_src_bytes,neuron1_srv_count,neuron1_srv_diff_host_rate,neuron1_srv_rerror_rate,neuron1_srv_serror_rate,neuron1_su_attempted,neuron1_urgent,neuron1_wrong_fragment
0,0.035409,0.006902,0.000000,0.017224,0.000870,0.030332,0.035153,0.008632,0.023377,0.074998,0.001205,0.005777,0.025827,0.000259,0.000000,0.009406,0.000063,0.000000,0.003522,0.033264,0.000000,0.000000,0.000000,0.043036,0.000000,0.000015,0.001381,0.001815,0.000000,0.000000,0.000000,0.000000,0.005587,0.005153,0.000008,0.000000,0.000202,0.000001,0.000000,0.000000,0.000040,0.010922,0.004851,0.009022,0.009485,0.000618,0.057043,0.018073,0.000000,0.000000,0.000483,0.000000,0.001179,0.000000,0.000144,0.000057,0.000000,0.000000,0.000050,0.000000,0.004214,0.000000,0.002036,0.009743,0.000000,0.000007,0.000037,0.001909,0.000476,0.000000,0.000000,0.000000,0.035069,0.000000,0.000063,0.000000,0.000154,0.000023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000058,0.000000,0.000000,0.003653,0.000000,0.000000,0.000793,0.000000,0.068725,0.000000,0.000000,0.000000,0.000000,0.004400,0.000000,0.000000,0.000025,0.000000,0.000036,0.005646,0.000000,0.000007,0.000000,0.000000,0.000000,0.000026,0.000026,0.000013,0.000000,0.000000,0.004487,0.005646,0.009268,0.023155,0.000000,0.000100,0.002060
1,0.037927,0.006133,0.000000,0.028413,0.001059,0.032101,0.033119,0.006698,0.024136,0.085141,0.001861,0.004567,0.024487,0.000317,0.000000,0.012586,0.000046,0.000000,0.009002,0.030475,0.000000,0.000000,0.000000,0.038287,0.000000,0.000017,0.001011,0.000999,0.000000,0.000000,0.000000,0.000000,0.003861,0.003146,0.000010,0.000000,0.000035,0.000003,0.000000,0.000000,0.000079,0.011776,0.006335,0.007578,0.010427,0.000590,0.049438,0.019226,0.000000,0.000000,0.000197,0.000000,0.000463,0.000000,0.000031,0.000008,0.000000,0.000000,0.000019,0.000000,0.005076,0.000000,0.002089,0.010815,0.000000,0.000006,0.000322,0.001010,0.000541,0.000000,0.000000,0.000000,0.032505,0.000000,0.000108,0.000000,0.000179,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000043,0.000000,0.000000,0.003766,0.000000,0.000000,0.000730,0.000000,0.068226,0.000000,0.000000,0.000000,0.000000,0.005117,0.000000,0.000000,0.000031,0.000000,0.000253,0.003158,0.000000,0.000004,0.000000,0.000000,0.000000,0.000054,0.000027,0.000024,0.000000,0.000000,0.003173,0.004678,0.016347,0.023589,0.000000,0.000013,0.001614
2,0.032611,0.005928,0.000000,0.027076,0.000394,0.036744,0.034139,0.007060,0.025928,0.083377,0.001265,0.001284,0.021993,0.000220,0.000000,0.012039,0.000034,0.000000,0.006856,0.035727,0.000000,0.000000,0.000000,0.036946,0.000000,0.000016,0.000827,0.000451,0.000000,0.000000,0.000000,0.000000,0.004812,0.004760,0.000004,0.000000,0.000101,0.000001,0.000000,0.000000,0.000010,0.010709,0.005651,0.010608,0.010385,0.000052,0.045200,0.022006,0.000000,0.000000,0.000432,0.000000,0.000319,0.000000,0.000052,0.000023,0.000000,0.000000,0.000067,0.000000,0.005159,0.000000,0.001674,0.010182,0.000000,0.000002,0.000715,0.000671,0.000389,0.000000,0.000000,0.000000,0.026234,0.000000,0.000035,0.000000,0.000097,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000034,0.000000,0.000000,0.004088,0.000000,0.000000,0.001722,0.000000,0.064691,0.000000,0.000000,0.000000,0.000000,0.004618,0.000000,0.000000,0.000452,0.000000,0.000003,0.006618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,0.000004,0.000052,0.000000,0.000000,0.005273,0.006781,0.021967,0.020232,0.000000,0.000054,0.001848
3,0.038647,0.005330,0.000000,0.026413,0.001912,0.036953,0.029618,0.015045,0.031294,0.086559,0.001118,0.002633,0.025860,0.000080,0.000000,0.016734,0.000240,0.000000,0.008090,0.041922,0.000000,0.000000,0.000000,0.035614,0.000000,0.000015,0.000746,0.000633,0.000000,0.000000,0.000000,0.000000,0.007486,0.009525,0.000017,0.000000,0.000039,0.000002,0.000000,0.000000,0.000007,0.011724,0.008746,0.006436,0.011860,0.000024,0.055207,0.017449,0.000000,0.000000,0.000052,0.000000,0.000431,0.000000,0.000006,0.000006,0.000000,0.000000,0.000004,0.000000,0.003517,0.000000,0.002510,0.008246,0.000000,0.000010,0.000286,0.000571,0.000442,0.000000,0.000000,0.000000,0.023087,0.000000,0.000081,0.000000,0.000381,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000027,0.000000,0.000000,0.003449,0.000000,0.000000,0.000463,0.000000,0.065610,0.000000,0.000000,0.000000,0.000000,0.003423,0.000000,0.000000,0.000059,0.000000,0.000059,0.006853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000035,0.000049,0.000002,0.000000,0.000000,0.006254,0.004437,0.019134,0.022636,0.000000,0.000000,0.001073
4,0.032713,0.009029,0.000000,0.018372,0.003263,0.038870,0.032900,0.006626,0.034011,0.100445,0.001307,0.001508,0.022619,0.000236,0.000000,0.014656,0.000327,0.000000,0.006622,0.041402,0.000000,0.000000,0.000000,0.032211,0.000000,0.000021,0.000817,0.000653,0.000000,0.000000,0.000000,0.000000,0.005968,0.008681,0.000020,0.000000,0.000126,0.000003,0.000000,0.000000,0.000003,0.011168,0.010675,0.006378,0.010732,0.000190,0.045917,0.020993,0.000000,0.000000,0.000424,0.000000,0.000375,0.000000,0.000042,0.000011,0.000000,0.000000,0.000005,0.000000,0.004903,0.000000,0.001703,0.009765,0.000000,0.000061,0.000570,0.000633,0.000306,0.000000,0.000000,0.000000,0.017361,0.000000,0.000039,0.000000,0.000094,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000037,0.000000,0.000000,0.003995,0.000000,0.000000,0.000401,0.000000,0.067456,0.000000,0.000000,0.000000,0.000000,0.003997,0.000000,0.000000,0.000130,0.000000,0.000003,0.010792,0.000000,0.000095,0.000000,0.000000,0.000000,0.000025,0.000003,0.000007,0.000000,0.000000,0.004991,0.005915,0.020606,0.021421,0.000000,0.000010,0.001667
5,0.032086,0.006713,0.000000,0.032001,0.004432,0.034693,0.028462,0.008713,0.026499,0.086204,0.001305,0.005182,0.025637,0.000218,0.000000,0.013080,0.000216,0.000000,0.006791,0.040208,0.000000,0.000000,0.000000,0.027174,0.000000,0.000023,0.000980,0.000820,0.000000,0.000000,0.000000,0.000000,0.007432,0.007838,0.000015,0.000000,0.000121,0.000003,0.000000,0.000000,0.000003,0.009333,0.007840,0.008946,0.010582,0.000298,0.049386,0.014565,0.000000,0.000000,0.000320,0.000000,0.000345,0.000000,0.000078,0.000033,0.000000,0.000000,0.000003,0.000000,0.004942,0.000000,0.001749,0.008534,0.000000,0.000004,0.000310,0.000902,0.000700,0.000000,0.000000,0.000000,0.016006,0.000000,0.000010,0.000000,0.000232,0.000046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000059,0.000000,0.000000,0.003870,0.000000,0.000000,0.002023,0.000000,0.061388,0.000000,0.000000,0.000000,0.000000,0.004240,0.000000,0.000000,0.000007,0.000000,0.000020,0.005388,0.000000,0.000017,0.000000,0.000000,0.000000,0.000048,0.000099,0.000009,0.000000,0.000000,0.004201,0.005906,0.020697,0.018538,0.000000,0.000002,0.001495
6,0.028113,0.005507,0.000000,0.028610,0.002437,0.048961,0.033127,0.013591,0.030707,0.094594,0.001175,0.002288,0.027166,0.000613,0.000000,0.015333,0.000359,0.000000,0.007286,0.038729,0.000000,0.000000,0.000000,0.025201,0.000000,0.000029,0.000889,0.000789,0.000000,0.000000,0.000000,0.000000,0.004865,0.006245,0.000028,0.000000,0.000088,0.000000,0.000000,0.000000,0.000122,0.010950,0.010535,0.006525,0.010745,0.000424,0.047109,0.010770,0.000000,0.000000,0.000160,0.000000,0.000757,0.000000,0.000041,0.000011,0.000000,0.000000,0.000051,0.000000,0.003690,0.000000,0.001903,0.009948,0.000000,0.000005,0.000777,0.000868,0.000490,0.000000,0.000000,0.000000,0.019677,0.000000,0.000102,0.000000,0.000061,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000049,0.000000,0.000000,0.003139,0.000000,0.000000,0.000896,0.000000,0.060091,0.000000,0.000000,0.000000,0.000000,0.002595,0.000000,0.000000,0.000029,0.000000,0.000055,0.005937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000057,0.000066,0.000025,0.000000,0.000000,0.003327,0.003284,0.022209,0.019166,0.000000,0.000003,0.001015
7,0.026609,0.007051,0.000000,0.024191,0.005193,0.047720,0.028116,0.012841,0.036188,0.088240,0.001469,0.006785,0.027300,0.000540,0.000000,0.015492,0.000113,0.000000,0.006229,0.041412,0.000000,0.000000,0.000000,0.028482,0.000000,0.000027,0.000761,0.000487,0.000000,0.000000,0.000000,0.000000,0.007522,0.006429,0.000012,0.000000,0.000315,0.000002,0.000000,0.000000,0.000011,0.009193,0.007748,0.008943,0.012958,0.000422,0.045267,0.016268,0.000000,0.000000,0.000015,0.000000,0.000896,0.000000,0.000004,0.000001,0.000000,0.000000,0.000005,0.000000,0.004339,0.000000,0.001294,0.010079,0.000000,0.000002,0.000223,0.000811,0.000580,0.000000,0.000000,0.000000,0.015741,0.000000,0.000005,0.000000,0.000041,0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000029,0.000000,0.000000,0.003126,0.000000,0.000000,0.001017,0.000000,0.054749,0.000000,0.000000,0.000000,0.000000,0.002463,0.000000,0.000000,0.000004,0.000000,0.000092,0.007774,0.000000,0.000171,0.000000,0.000000,0.000000,0.000102,0.000037,0.000005,0.000000,0.000000,0.003233,0.005861,0.028143,0.021591,0.000000,0.000013,0.001147
8,0.023225,0.001564,0.000000,0.027495,0.006720,0.043498,0.027448,0.015946,0.032265,0.080896,0.001794,0.002004,0.026138,0.000349,0.000000,0.016042,0.000123,0.000000,0.006239,0.032526,0.000000,0.000000,0.000000,0.024330,0.000000,0.000028,0.000264,0.000087,0.000000,0.000000,0.000000,0.000000,0.008630,0.006458,0.000015,0.000000,0.000167,0.000003,0.000000,0.000000,0.000013,0.009552,0.009606,0.006269,0.017080,0.000497,0.050367,0.016271,0.000000,0.000000,0.000166,0.000000,0.000470,0.000000,0.000020,0.000037,0.000000,0.000000,0.000045,0.000000,0.002305,0.000000,0.001680,0.008337,0.000000,0.000072,0.000187,0.000314,0.000388,0.000000,0.000000,0.000000,0.018302,0.000000,0.000068,0.000000,0.000162,0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000157,0.000000,0.000000,0.003040,0.000000,0.000000,0.000801,0.000000,0.051832,0.000000,0.000000,0.000000,0.000000,0.004732,0.000000,0.000000,0.000016,0.000000,0.000005,0.005074,0.000000,0.000005,0.000000,0.000000,0.000000,0.000022,0.000212,0.000008,0.000000,0.000000,0.004452,0.006387,0.027314,0.021807,0.000000,0.000000,0.001588
9,0.024451,0.003863,0.000000,0.032758,0.008956,0.039126,0.029469,0.017417,0.027509,0.097062,0.001140,0.002628,0.023896,0.000033,0.000000,0.017529,0.000278,0.000000,0.005527,0.034890,0.000000,0.000000,0.000000,0.022896,0.000000,0.000035,0.000491,0.000427,0.000000,0.000000,0.000000,0.000000,0.007525,0.006710,0.000035,0.000000,0.000440,0.000001,0.000000,0.000000,0.000008,0.012199,0.009735,0.012413,0.017000,0.000270,0.048864,0.017259,0.000000,0.000000,0.000026,0.000000,0.000822,0.000000,0.000074,0.000011,0.000000,0.000000,0.000064,0.000000,0.004195,0.000000,0.001520,0.009820,0.000000,0.000004,0.000093,0.000591,0.000623,0.000000,0.000000,0.000000,0.023167,0.000000,0.000040,0.000000,0.000078,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,0.000000,0.000000,0.004025,0.000000,0.000000,0.000934,0.000000,0.051306,0.000000,0.000000,0.000000,0.000000,0.004754,0.000000,0.000000,0.000006,0.000000,0.000120,0.006551,0.000000,0.000005,0.000000,0.000000,0.000000,0.000008,0.000010,0.000001,0.000000,0.000000,0.003053,0.006223,0.027687,0.024492,0.000000,0.000000,0.001667
