epoch,mean,median,mode,std_dev,min,max,q1_25th,q3_75th,skewness,kurtosis
0,0.0015385966021825397,0.0,-0.0,0.015462734015864734,-0.049894,0.0823,-0.00053175,0.0032700000000000003,0.6631699988433201,2.180719105366446
1,0.0002350846974206349,0.0,-0.0,0.0147723275462459,-0.061934,0.053781,-0.00024325,0.00010125,0.2061748716050163,1.8318260781118836
2,0.00023544531250000003,0.0,0.0,0.014509250185038134,-0.070884,0.056159,-1.4e-05,0.0,0.05287068559519768,3.1593369923564527
3,0.0003287666170634921,0.0,-0.0,0.014048004749414774,-0.071029,0.053636,0.0,0.0,-0.040795506581426624,3.6839841966833227
4,0.0002076006944444445,0.0,0.0,0.013422369933075046,-0.070373,0.052289,0.0,0.0,-0.2054013061815072,4.460015557413438
5,0.0002888461061507937,0.0,-0.0,0.01288750380815696,-0.065456,0.048264,-0.0,0.0,-0.12478993167839988,4.002607967154744
6,0.00019742150297619054,0.0,-0.0,0.013266980155585495,-0.067872,0.050603,0.0,0.0,-0.2995936169235528,4.394140038641527
7,0.00019718812003968254,0.0,-0.0,0.012582385278124155,-0.059787,0.044405,-0.0,0.0,-0.2818096625229328,4.563137583620284
8,0.00024151922123015875,0.0,-0.0,0.012942142364434002,-0.064923,0.047953,0.0,0.0,-0.19498649119700612,4.372771041633805
9,0.0001695801091269841,0.0,0.0,0.01289637987277622,-0.064452,0.046395,-0.0,0.0,-0.3751601241861603,5.038236337890881
10,0.00017427678571428572,0.0,0.0,0.012528420349574472,-0.056749,0.048393,0.0,0.0,-0.32197546294373114,5.199692465151793
11,0.00012238182043650787,0.0,0.0,0.012059619559960174,-0.058213,0.050905,0.0,0.0,-0.3705780823342855,5.810436807938624
12,7.88085317460317e-05,0.0,-0.0,0.012317582934025807,-0.057992,0.049322,0.0,0.0,-0.5055374600728253,6.036513609757952
13,6.520027281746027e-05,0.0,-0.0,0.011936420845936376,-0.060454,0.055766,0.0,0.0,-0.6654141089677915,6.786474320171461
