,bias_value
neuron_1,-0.00060960645
neuron_2,-0.036300633
neuron_3,-0.013994943
neuron_4,-0.018573612
neuron_5,-1.2946365e-08
neuron_6,-1.41159e-06
neuron_7,-7.793538e-09
neuron_8,-0.02897214
neuron_9,-0.02452958
neuron_10,-0.032697886
neuron_11,-0.011838482
neuron_12,0.0065623056
neuron_13,0.0020113443
neuron_14,-0.049532127
neuron_15,-3.2054808e-07
neuron_16,-3.4450383e-09
neuron_17,-0.037077792
neuron_18,-0.0014258513
neuron_19,-0.023571484
neuron_20,-0.00870428
neuron_21,-3.623493e-05
neuron_22,-6.795781e-06
neuron_23,-0.014651453
neuron_24,-0.03602763
neuron_25,-0.004951023
neuron_26,-0.0009774086
neuron_27,-0.00033123334
neuron_28,-8.64252e-05
neuron_29,-0.0060192836
neuron_30,-0.0031324534
neuron_31,-0.036638215
neuron_32,-0.024287915
neuron_33,-0.034587577
neuron_34,-0.037304703
neuron_35,-0.087846406
neuron_36,-0.009941897
neuron_37,-0.018720053
neuron_38,-9.3066006e-07
neuron_39,-0.051092528
neuron_40,-0.0021698417
neuron_41,-0.054132253
neuron_42,-2.1403174e-07
neuron_43,0.06153505
neuron_44,-0.0031758945
neuron_45,-0.0004607954
neuron_46,0.036993235
neuron_47,-1.0994792e-07
neuron_48,-0.03178196
neuron_49,-0.054145552
neuron_50,-0.063795865
neuron_51,-2.6888417e-06
neuron_52,-0.01749239
neuron_53,-1.6161984e-09
neuron_54,-0.06424718
neuron_55,-0.00016666256
neuron_56,-0.011437091
neuron_57,-0.052421913
neuron_58,-0.05497433
neuron_59,-0.04888943
neuron_60,-0.016222853
neuron_61,-0.00917608
neuron_62,-1.695885e-05
neuron_63,-0.025588775
neuron_64,-0.016194949
neuron_65,-0.00060025306
neuron_66,-0.063026376
neuron_67,-0.002114185
neuron_68,-3.7140286e-08
neuron_69,-0.002036422
neuron_70,-0.024816534
neuron_71,-0.028243978
neuron_72,0.08829813
neuron_73,-0.0212957
neuron_74,-1.2836506e-07
neuron_75,-0.00027431198
neuron_76,-0.0007777196
neuron_77,-0.02980462
neuron_78,-0.0020267882
neuron_79,0.0053206407
neuron_80,-0.021219207
neuron_81,-0.022577073
neuron_82,-0.059082232
neuron_83,-0.011663009
neuron_84,-2.0723833e-06
neuron_85,0.01949749
neuron_86,-0.00038237983
neuron_87,-0.022753492
neuron_88,-0.044475272
neuron_89,-0.033901423
neuron_90,-7.8591915e-09
neuron_91,-0.022842046
neuron_92,0.08585098
neuron_93,-0.022522662
neuron_94,-0.00034509666
neuron_95,-7.179906e-09
neuron_96,-3.456539e-05
neuron_97,-0.02568184
neuron_98,-0.00632583
neuron_99,0.012811312
neuron_100,-0.0035402754
neuron_101,-0.044778433
neuron_102,-0.015079312
neuron_103,-0.07030586
neuron_104,-0.03814501
neuron_105,-0.01262181
neuron_106,-0.007147853
neuron_107,-0.07586765
neuron_108,-0.00014180821
neuron_109,-0.036892097
neuron_110,-3.8815995e-07
neuron_111,-0.03276339
neuron_112,-0.03990199
neuron_113,-0.00062910776
neuron_114,-0.0024282765
neuron_115,-7.717966e-05
neuron_116,-0.0004249802
neuron_117,-0.022625057
neuron_118,-0.065173246
neuron_119,-0.00017720372
neuron_120,-0.00073083607
neuron_121,0.094482444
neuron_122,-0.026578011
neuron_123,-0.0051951325
neuron_124,-4.795391e-07
neuron_125,-0.054753095
neuron_126,-0.04358046
