,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,input_26,input_27,input_28,input_29,input_30,input_31,input_32,input_33,input_34,input_35,input_36,input_37,input_38,input_39,input_40,input_41,input_42,input_43,input_44,input_45,input_46,input_47,input_48,input_49,input_50,input_51,input_52,input_53,input_54,input_55,input_56,input_57,input_58,input_59,input_60,input_61,input_62,input_63,input_64
neuron_1,0.026964668,0.03666162,0.032719042,1.1755026e-34,4.3853277e-34,2.448114e-35,1.9823815e-34,-3.0381278e-34,-5.282326e-35,-5.2714617e-34,0.028855355,1.8526264e-34,1.0522265e-34,1.354689e-35,0.035882752,2.6522073e-34,0.032669257,-7.4551665e-35,2.031026e-34,-0.029040419,0.041066866,0.03261872,-0.038423225,-0.030914178,-4.5549185e-34,-1.026132e-34,0.030874046,0.040051855,0.040040374,0.026516171,0.03445768,3.5201207e-34,3.7472464e-34,-3.8881615e-34,-4.631242e-34,5.451972e-34,2.6874577e-34,0.03375393,3.7108107e-34,-5.07143e-34,0.034542732,4.373596e-34,-0.036229774,-1.5497885e-34,8.6668114e-36,5.062897e-34,-0.032548234,0.03723025,1.8161498e-34,0.031426415,-3.8032516e-34,0.03549696,2.8017302e-34,0.033565767,0.033100016,3.8035845e-34,-0.035645407,-3.7968874e-34,5.227185e-34,0.029829418,-0.036978334,1.7933711e-34,4.3571953e-34,-0.03262118
neuron_2,0.025716994,0.037033625,0.035330977,-4.3363188e-34,3.0414612e-34,1.5694751e-34,9.4464195e-35,-4.366918e-34,-2.9695648e-34,-3.3795238e-34,0.02982571,-1.0723385e-34,2.6006871e-34,2.1514802e-34,0.03493204,-5.0279245e-34,0.03087813,-1.7725341e-34,-1.4891913e-34,-0.033458006,0.04044178,0.03385172,-0.043991417,-0.035666466,2.9453023e-34,-5.132016e-34,0.032569304,0.040617842,0.038581103,0.025128368,0.035121273,-1.2782088e-34,5.774207e-34,3.6404231e-34,4.2884625e-07,5.0106916e-34,-2.0063243e-34,0.034384187,2.2236804e-34,-4.493525e-34,0.034888174,3.4265316e-36,-0.040271796,9.809817e-35,3.6739635e-34,1.8658941e-34,-0.038189568,0.040419,2.9669902e-34,0.033018213,4.865483e-34,0.035254367,-2.3701842e-34,0.034083843,0.03353439,-3.7158327e-34,-0.039121743,1.1065591e-34,-1.7502459e-34,0.03230065,-0.04213612,-4.2163334e-34,2.65817e-34,-0.035194658
neuron_3,-0.020382501,-0.025800668,-0.023468787,-5.3919662e-36,-3.5349537e-34,-2.3727537e-36,-1.1610142e-34,2.5364571e-34,4.7671898e-35,6.803486e-35,-0.02249508,2.6585784e-34,-4.1240635e-34,-1.7833172e-34,-0.026297472,-5.1202357e-34,-0.021558903,3.400404e-34,2.463733e-34,0.022661712,-0.028202146,-0.024387823,0.035909414,0.025763657,6.7279195e-35,5.5462537e-34,-0.021481937,-0.029025206,-0.027987301,-0.022467121,-0.02457896,1.7348258e-34,-1.7671279e-34,-9.868683e-35,-5.481749e-34,-2.151647e-34,2.2075504e-34,-0.024224235,5.149706e-34,-4.4937413e-34,-0.025176903,5.048872e-34,0.03238797,-4.66544e-34,-5.530824e-34,5.7142185e-34,0.027231118,-0.02551239,3.0983267e-34,-0.023738075,-3.603183e-34,-0.024419919,1.5769991e-35,-0.024238719,-0.025447175,5.7397816e-36,0.030454712,2.3900078e-34,-1.3379468e-34,-0.021862881,0.032305837,-8.240565e-35,-2.1694864e-34,0.02638034
neuron_4,4.612748e-35,-5.636394e-34,1.1314863e-34,3.2427366e-34,-1.5858326e-34,2.3673212e-34,3.559845e-34,-3.2413524e-34,-5.714987e-34,-1.0746594e-34,-3.3086917e-34,-8.2585245e-35,-5.1226913e-35,4.4339376e-34,-6.5315747e-35,-1.8935343e-35,2.9613472e-35,5.32026e-35,5.1302633e-34,5.37237e-34,3.0961334e-34,4.482726e-34,-2.8022183e-34,2.8035993e-34,1.2945336e-34,2.885451e-34,5.5241884e-34,1.3993181e-35,-5.782087e-34,1.9288462e-34,-3.5919911e-34,2.4409728e-34,-3.9783872e-35,4.9402997e-34,2.0761326e-34,2.0640772e-34,1.8523022e-34,-8.4185496e-35,2.518173e-34,4.5908895e-34,6.5140766e-35,4.51951e-34,1.1437572e-34,2.4954726e-34,-6.7547946e-35,4.0467862e-34,3.8709167e-34,-5.38461e-34,-4.9881295e-34,-3.5655214e-34,1.3185998e-34,-5.18388e-34,5.635992e-34,-5.310191e-35,5.736854e-34,-5.663679e-34,-3.4532425e-35,-4.0302687e-34,-5.555986e-34,3.8318645e-34,-3.5674029e-34,-5.2614085e-34,-6.969468e-35,-3.8202751e-34
neuron_5,-5.660182e-34,6.406182e-35,3.0478387e-34,2.992618e-34,1.6313841e-34,1.4505185e-34,5.0201993e-34,-9.952356e-35,-3.662818e-34,4.4561696e-34,-2.0981229e-34,3.1684943e-34,6.2794725e-35,3.4515067e-34,8.7043486e-35,6.673672e-35,1.966933e-34,2.6376098e-34,-3.1825628e-34,-4.7765253e-34,-4.728737e-34,1.6470839e-34,1.4025662e-34,1.9014824e-34,5.5209847e-34,1.2189475e-34,4.5842856e-34,-9.252446e-35,-9.5444126e-35,-1.5121347e-34,-3.9392882e-35,-5.03986e-34,4.933032e-34,-5.829614e-36,-7.0646407e-35,-3.8375186e-34,-2.031729e-34,-7.83866e-35,-4.657809e-34,-6.172057e-35,5.2550154e-34,5.063686e-34,5.806343e-34,3.4016288e-34,-4.5683206e-35,-3.5911944e-35,-2.2021688e-34,-3.564192e-34,-7.6188323e-35,-1.6951464e-34,6.6585246e-35,-5.3471668e-34,2.6828239e-34,2.5609274e-34,-9.210344e-35,-2.8413423e-34,1.6520638e-34,-4.718118e-34,-1.9235119e-34,3.5637848e-34,2.7308924e-34,1.1948099e-34,-4.666178e-34,3.0670914e-34
neuron_6,0.02822156,0.03793222,0.034510136,-2.222127e-34,-3.93125e-34,2.076575e-35,5.103287e-34,4.4853407e-34,3.5843e-34,-1.3181388e-34,0.030714275,1.128909e-34,-3.1482283e-34,-2.8132776e-34,0.035866488,3.6922438e-34,0.031698972,3.9521997e-35,-1.115292e-34,-0.02307525,0.042334408,0.034480967,-0.033389173,-0.025904546,-3.2345796e-34,5.7607162e-34,0.033059765,0.041000456,0.039156787,0.029270733,0.035840407,-4.9059904e-34,-2.0652944e-34,5.0385807e-34,2.2034348e-34,2.1582444e-34,-4.4569947e-34,0.033837926,-5.111905e-34,2.9986372e-34,0.035630584,-4.259006e-34,-0.027867135,-3.7639302e-34,-1.3083555e-34,4.1538173e-34,-0.028776793,0.041367993,-1.594511e-34,0.034840576,3.3113825e-35,0.035285555,7.13166e-35,0.033506528,0.034607925,4.8552784e-34,-0.028093884,-2.1699557e-34,-5.3859333e-34,0.033151507,-0.030688303,-2.6873886e-34,3.9682894e-34,-0.025817478
neuron_7,-0.021860616,-0.026883265,-0.025088603,-4.147431e-34,3.7259025e-34,-3.6284609e-34,-3.91904e-34,5.544931e-34,9.719877e-35,-4.800927e-34,-0.022923037,-5.90506e-34,-2.6410676e-34,-1.428348e-34,-0.02692466,4.3275016e-34,-0.023800606,1.0607884e-35,4.3187346e-34,0.027534632,-0.030773848,-0.025937697,0.03622762,0.025980603,-4.97056e-34,2.9776515e-35,-0.02338968,-0.031413257,-0.030300368,-0.022363357,-0.02659908,-4.3596964e-34,-5.1369144e-34,3.660746e-34,1.9225357e-34,-5.3700255e-34,-4.064124e-34,-0.025716387,-2.019522e-34,1.820666e-34,-0.027016843,1.35836e-35,0.03455944,-4.743511e-34,-3.3332355e-34,2.5704535e-34,0.03002755,-0.027852766,-4.440998e-34,-0.024421804,-4.1678185e-34,-0.026995247,2.8352373e-35,-0.02437133,-0.02628208,1.90359e-34,0.03343671,4.1146247e-34,3.1527516e-34,-0.02369292,0.03251853,-3.9861473e-34,4.566261e-34,0.029458968
neuron_8,1.6967095e-34,1.9493705e-34,2.326914e-34,2.1813497e-34,3.5373004e-34,4.9236256e-34,-8.918929e-35,3.2488033e-34,5.3318018e-34,3.8928534e-34,-8.426019e-35,-3.4952946e-34,3.6721371e-34,3.4524577e-34,3.9629804e-34,-2.1210211e-36,1.06094e-34,-2.4620867e-34,5.5315633e-34,-2.4065049e-34,3.4439e-34,3.2419144e-35,5.275356e-35,-1.2485512e-34,-4.2327756e-34,1.5817756e-34,3.486492e-34,1.5074288e-34,1.3338516e-34,3.7813812e-34,-2.1908685e-34,4.026127e-34,-9.1932664e-35,-4.815219e-34,3.0348376e-34,-1.3325189e-34,2.1666142e-34,4.3030596e-34,-4.8823386e-34,-5.938324e-35,-2.4748952e-34,4.8692222e-34,-3.967212e-34,2.8086417e-34,1.1342974e-34,2.4558816e-34,3.944372e-34,-5.5640473e-34,-1.0964705e-34,2.5395665e-34,-5.4765914e-34,-2.5012146e-34,5.762469e-34,-1.8298949e-35,5.289866e-34,-4.3371177e-34,-1.1372598e-34,-3.0092068e-34,5.6341077e-34,-5.2996107e-34,1.610921e-34,-2.8037776e-34,3.564491e-34,-3.3006589e-34
neuron_9,0.026037619,0.035127327,0.032548912,2.4344612e-34,-4.2497868e-34,4.9045344e-34,-3.993011e-34,-1.082349e-34,-2.4931053e-34,-1.7411776e-34,0.030246465,2.4116268e-34,-1.50708e-34,-4.0706814e-34,0.035077352,-4.3203766e-34,0.031802267,-1.01150284e-35,4.7391864e-34,-0.0302924,0.040211342,0.03197194,-0.04151411,-0.0317776,4.043852e-34,3.3714343e-35,0.030988509,0.04018938,0.03779078,0.025684029,0.03316763,5.6368113e-34,3.4335253e-34,-4.480158e-34,-5.0995443e-34,-4.3129622e-34,-4.484514e-34,0.032630697,4.9684473e-34,-8.1537224e-35,0.034602635,4.058654e-34,-0.038615763,-3.7204775e-34,3.8143328e-35,-4.1951805e-34,-0.03436744,0.039524615,5.143223e-34,0.03208689,-4.3610106e-34,0.033997368,1.982417e-34,0.03326588,0.03365423,-2.6106724e-34,-0.036793616,-1.4220267e-34,-9.581282e-35,0.031081812,-0.037787825,-3.055352e-34,1.371568e-34,-0.03313116
neuron_10,-2.3288612e-34,-4.463987e-34,3.08216e-34,-2.3338031e-35,-2.0854673e-34,4.521373e-34,-4.6864627e-34,-5.135185e-34,-4.900786e-34,3.0229977e-34,-3.8450542e-34,-2.438965e-34,7.9547264e-35,3.0197398e-34,-3.522694e-34,1.00485424e-35,3.0069416e-34,-5.593754e-34,-7.6275085e-35,3.4869357e-34,3.02105e-34,8.3382877e-35,3.178807e-34,-5.980665e-35,-1.735541e-34,9.369985e-35,-5.6749607e-34,5.6742742e-34,-2.5787488e-34,2.453044e-34,-8.715783e-35,-4.2398497e-34,5.918525e-34,-4.855395e-34,-2.7391264e-34,2.8881692e-34,3.510593e-34,-5.897553e-34,5.8973257e-34,-7.4037834e-35,-1.7772347e-34,4.910136e-34,-4.539905e-34,-2.2219562e-34,-2.8257677e-34,-3.1897845e-34,-2.0201339e-34,-4.0961817e-35,1.0389196e-34,-3.3837519e-34,5.2756154e-34,-1.7329109e-34,1.0405151e-34,-1.598921e-34,3.1173798e-34,2.3570329e-34,-4.5144553e-34,2.0288886e-34,-3.9485066e-34,1.2641917e-35,-3.4522226e-34,-1.2135413e-34,3.889193e-34,5.777698e-34
